p;L;L(p);R(p);T(p)
10;50;;;
10;50;1,07113;0,646641;6,83784
10;50;1,09093;0,728335;5,14634
10;50;1,03157;0,72306;4,78049
10;50;1,11073;0,849969;5,82979
10;50;1,03157;0,66306;12,42105
10;50;1,13054;0,651546;6,59459
10;50;1,05135;0,684884;4,94872
10;50;1,11073;0,769969;4,62791
10;50;1,03157;0,70306;5,15
10;50;1,05135;0,664884;4,57895
10;50;1,13054;0,731546;5,19512
10;50;1,09093;0,628335;5,11111
10;50;1,07113;0,746641;3,80952
10;50;1,05135;0,664884;5,26316
10;50;1,11073;0,729969;4,56098
10;50;1,09093;0,608335;5,14286
10;50;1,09093;0,568335;6,39394
10;50;1,11073;0,589969;4,97059
10;50;1,09093;0,768335;6,93023
10;50;1,20983;0,837344;5,65217
10;50;1,09093;0,748335;5,61905
10;50;1,05135;0,724884;6,4878
10;50;1,03157;0,68306;7,23077
10;50;1,09093;0,808335;4,55556
10;50;1,09093;0,748335;5,19048
10;50;1,09093;0,748335;5,19048
10;50;1,05135;0,804884;4,8
10;50;1,03157;0,68306;7,48718
10;50;1,05135;0,724884;5,43902
10;50;1,11073;0,789969;4,40909
10;50;1,07113;0,666641;4,81579
10;50;1,11073;0,709969;4,7
10;50;1,22967;0,858678;7,08511
10;50;1,09093;0,648335;5,64865
10;50;1,09093;0,668335;4,97368
10;50;1,03157;0,66306;6,73684
10;50;1,05135;0,704884;5,9
10;50;1,20983;0,777344;6,76744
10;50;1,09093;0,688335;6,05128
10;50;1,07113;0,646641;5,62162
10;50;1,09093;0,628335;6,02778
10;50;1,11073;0,729969;5,14634
10;50;1,07113;0,746641;4,61905
10;50;1,05135;0,724884;4,2439
10;50;1,07113;0,786641;5,52273
10;50;1,07113;0,726641;6,58537
10;50;1,11073;0,689969;5,61538
10;50;1,17017;0,734542;5,04878
10;50;1,07113;0,686641;4,89744
10;50;1,17017;0,834543;7,26087
10;50;01,01,2019;0,655966;3,83784
10;50;1,07113;0,646641;5,18919
10;50;1,03157;0,70306;8,15
10;50;1,07113;0,726641;5,17073
10;50;1,05135;0,704884;4,825
10;50;1,03157;0,74306;4,97619
10;50;1,05135;0,764884;4,13953
10;50;1,07113;0,646641;4,72973
10;50;1,07113;0,706641;7,25
10;50;1,07113;0,766641;6,06977
10;50;1,09093;0,708335;5,15
10;50;1,15035;0,65307;7,05405
10;50;1,11073;0,709969;6,65
10;50;1,09093;0,648335;3,35135
10;50;1,05135;0,664884;5,18421
10;50;1,03157;0,78306;5,02273
10;50;1,03157;0,80306;4,33333
10;50;1,03157;0,66306;5,05263
10;50;1,09093;0,788335;5,34091
10;50;1,11073;0,689969;4,61538
10;50;1,09093;0,668335;4,52632
10;50;1,11073;0,749969;5,61905
10;50;1,13054;0,671546;9,21053
10;50;1,05135;0,804884;4,88889
10;50;1,13054;0,791546;4,88636
10;50;1,11073;0,729969;5,4878
10;50;1,26937;0,74122;4,82927
10;50;1,05135;0,684884;4,58974
10;50;1,17017;0,674542;4,60526
10;50;1,11073;0,709969;8,6
10;50;1,15035;0,67307;4,76316
10;50;1,07113;0,746641;5,2619
10;50;1,09093;0,788335;4,68182
10;50;1,11073;0,709969;4,15
