p;L;L(p);R(p);T(p)
25;200
25;200;1.28078;0.374807;2.28070
25;200;1.20117;0.39687;2.19008
25;200;1.3704;0.432572;2.44715
25;200;1.33555;0.352811;2.47222
25;200;1.16636;0.320658;2.37383
25;200;1.26088;0.351725;2.14545
25;200;1.23102;0.291916;2.95960
25;200;1.25092;0.345148;2.20183
25;200;1.2161;0.304424;2.37255
25;200;1.29572;0.352057;2.27523
25;200;1.27083;0.348278;2.35780
25;200;1.28576;0.375563;2.31579
25;200;1.29074;0.421313;2.54472
25;200;1.23102;0.366916;2.59649
25;200;1.33057;0.39711;2.58120
25;200;1.30567;0.458528;2.31538
25;200;1.35546;0.375561;2.42857
25;200;1.40527;0.352098;2.77358
25;200;1.32061;0.380693;2.34211
25;200;1.27581;0.414046;2.38525
25;200;1.33057;0.38211;2.42982
25;200;1.31563;0.384977;2.66957
25;200;1.30567;0.423528;2.56911
25;200;1.25092;0.400148;2.13333
25;200;1.27581;0.364046;2.45536
25;200;1.27083;0.373278;2.42105
25;200;1.3455;0.429196;2.25203
25;200;1.41523;0.39335;2.38596
25;200;1.28078;0.364807;2.16964
25;200;1.26585;0.437505;2.14173
25;200;1.21112;0.33358;2.36111
25;200;1.26585;0.307505;2.40594
25;200;1.30069;0.382795;2.29565
25;200;1.33057;0.39711;3.05128
25;200;1.28576;0.410563;2.65289
25;200;1.236;0.312734;2.52427
25;200;1.35048;0.429881;2.63415
25;200;1.33057;0.40711;2.13445
25;200;1.37538;0.378232;2.54464
25;200;1.24595;0.369349;2.43860
25;200;1.30567;0.423528;2.47154
25;200;1.23102;0.321916;2.23810
25;200;1.29074;0.381313;2.53913
25;200;1.34052;0.368506;2.35135
25;200;1.18625;0.334252;2.32110
25;200;1.28078;0.419807;2.36585
25;200;1.29074;0.361313;2.19820
25;200;1.2559;0.35094;2.45455
25;200;1.31065;0.334255;2.33333
25;200;1.30567;0.403528;2.35294
25;200;1.32559;0.421404;2.48361
25;200;1.38036;0.468888;2.30769
25;200;1.24097;0.413545;2.21138
25;200;1.29074;0.441313;2.46457
25;200;1.30567;0.363528;2.18919
25;200;1.22107;0.325262;2.44340
