p;L;L(p);R(p);T(p)
5;200
5;200;1.04142;0.841989;8.62921
5;200;1.0514;0.867445;7.80874
5;200;1.0564;0.912669;8.72917
5;200;1.12132;0.89541;9.12234
5;200;1.07138;0.908331;9.64921
5;200;1.06139;0.847892;12.78771
5;200;1.07637;0.883548;9.48925
5;200;1.04142;0.906989;8.05759
5;200;1.04641;0.847218;9.62570
5;200;1.03643;0.901757;8.83684
5;200;1.03143;0.871524;12.11957
5;200;1.0514;0.867445;8.71585
5;200;1.01645;0.835809;9.74576
5;200;1.06139;0.937892;14.98477
5;200;1.04641;0.902218;9.70526
5;200;1.03143;0.861524;8.29121
5;200;1.02145;0.90105;8.04211
5;200;1.04641;0.892218;8.71277
5;200;1.06139;0.842892;8.79214
5;200;1.06639;0.888113;8.82353
5;200;1.04641;0.902218;9.29474
5;200;1.07637;0.893548;9.57979
5;200;1.07138;0.833331;9.31250
5;200;1.04142;0.901989;8.57368
5;200;1.04641;0.892218;8.49468
5;200;1.04641;0.877218;9.66486
5;200;1.0564;0.897669;8.12698
5;200;1.0514;0.867445;9.77596
5;200;1.04142;0.886989;8.78610
5;200;1.0514;0.862445;8.71429
5;200;1.0514;0.892445;8.26064
5;200;1.08636;0.878975;8.89730
5;200;1.03643;0.886757;9.05348
5;200;1.0564;0.872669;8.88587
5;200;1.08137;0.923762;10.43299
5;200;1.09135;0.909185;9.52880
5;200;1.04142;0.826989;8.25714
5;200;1.04641;0.867218;7.72678
5;200;1.02145;0.83605;8.50847
5;200;1.07138;0.858331;8.24309
5;200;1.04641;0.827218;10.07429
5;200;1.03143;0.841524;8.67978
5;200;1.11133;0.905009;10.72632
5;200;1.06139;0.862892;9.26374
5;200;1.08137;0.868762;9.04918
5;200;1.03643;0.876757;8.10270
5;200;1.06639;0.908113;8.35079
5;200;1.04142;0.831989;9.21591
5;200;1.11632;0.89021;9.49198
5;200;1.06139;0.892892;8.75000
5;200;1.03643;0.876757;8.49189
5;200;1.0514;0.897445;9.14286
5;200;1.07138;0.813331;10.20349
5;200;1.0514;0.887445;10.98930
5;200;1.03143;0.841524;8.71348
5;200;1.04142;0.806989;9.76023
5;200;1.08137;0.913762;10.03646
5;200;1.0514;0.852445;13.39444
5;200;1.0564;0.852669;9.23889
5;200;1.0564;0.827669;9.82286
5;200;1.06139;0.897892;8.61376
5;200;1.04142;0.891989;10.76064
5;200;1.04641;0.902218;9.07895
5;200;1.04142;0.896989;9.14815
5;200;1.08636;0.923975;10.24227
5;200;1.0564;0.847669;8.59776
5;200;1.0514;0.872445;8.53804
5;200;1.07138;0.878331;8.20541
5;200;1.0514;0.897445;8.37037
5;200;1.06139;0.842892;9.48315
5;200;1.07637;0.898548;8.52910
5;200;1.0514;0.822445;10.00000
5;200;1.0564;0.872669;10.96739
5;200;1.07637;0.908548;9.43456
5;200;1.06139;0.892892;8.63830
5;200;1.04142;0.851989;10.58889
5;200;1.09135;0.869185;8.89617
