p;L;L(p);R(p);T(p)
20;100
20;100;1.18009;0.530521;2.74286
20;100;1.25944;0.461199;2.53226
20;100;1.29915;0.586053;2.70270
20;100;1.26937;0.642441;2.75000
20;100;1.20983;0.414688;3.06897
20;100;1.18009;0.430521;2.76667
20;100;1.14044;0.474629;3.33846
20;100;1.20983;0.544688;3.09859
20;100;1.16026;0.487625;2.56061
20;100;1.17017;0.509085;2.44118
20;100;1.31901;0.558371;2.91549
20;100;1.20983;0.484688;3.03077
20;100;1.22967;0.487355;2.69231
20;100;1.17017;0.449085;2.80645
20;100;1.19992;0.493322;2.30303
20;100;1.20983;0.454688;3.22581
20;100;1.33887;0.490621;3.35938
20;100;1.19992;0.533322;2.91429
20;100;1.26937;0.372441;2.94340
20;100;1.15035;0.53614;2.83099
20;100;1.29915;0.486053;3.62500
20;100;1.26937;0.492441;3.26154
20;100;1.14044;0.394629;3.71930
20;100;1.16026;0.497625;3.55224
20;100;1.19992;0.563322;2.95890
20;100;1.15035;0.43614;2.93443
20;100;1.34881;0.571721;2.58333
20;100;1.21975;0.516032;2.91176
20;100;1.18009;0.400521;2.43860
20;100;1.19;0.441933;2.68852
20;100;1.20983;0.434688;3.18333
20;100;1.22967;0.537355;2.81429
20;100;1.28922;0.554867;2.78873
20;100;1.15035;0.42614;3.53333
20;100;1.22967;0.577355;3.40541
20;100;1.16026;0.487625;2.83333
20;100;1.41837;0.618993;3.35526
20;100;1.18009;0.490521;2.81818
20;100;1.24952;0.559938;2.91667
20;100;1.19992;0.433322;4.11667
20;100;1.22967;0.487355;2.46154
20;100;1.17017;0.439085;3.16393
20;100;1.26937;0.522441;2.95588
20;100;1.19992;0.453322;2.58065
20;100;1.21975;0.506032;3.31343
20;100;1.20983;0.484688;2.52308
20;100;1.29915;0.436053;4.08475
20;100;1.17017;0.489085;2.72727
20;100;1.28922;0.554867;2.40845
20;100;1.15035;0.56614;2.32432
20;100;1.21975;0.486032;2.87692
20;100;1.30908;0.567221;2.95833
20;100;1.17017;0.519085;2.81159
20;100;1.29915;0.486053;3.68750
20;100;1.23959;0.578657;2.78378
20;100;1.21975;0.566032;2.30137
20;100;1.16026;0.397625;2.82456
20;100;1.24952;0.499938;3.27273
20;100;1.33887;0.510621;4.15152
20;100;1.21975;0.466032;2.60317
20;100;1.17017;0.499085;2.98507
20;100;1.21975;0.466032;3.11111
20;100;1.30908;0.577221;3.30137
20;100;1.19;0.441933;2.90164
20;100;1.16026;0.547625;3.29167
20;100;1.26937;0.522441;2.36765
20;100;1.19;0.471933;2.62500
20;100;1.22967;0.487355;2.95385
20;100;1.18009;0.530521;2.52857
20;100;1.23959;0.518657;3.29412
20;100;1.20983;0.444688;2.95082
20;100;1.30908;0.427221;2.94828
20;100;1.13054;0.343093;2.67308
20;100;1.20983;0.554688;2.75000
20;100;1.24952;0.469938;2.96825
20;100;1.20983;0.484688;2.64615
20;100;1.28922;0.554867;2.73239
20;100;1.12063;0.441529;2.91935
20;100;1.19992;0.453322;3.09677
20;100;1.15035;0.50614;2.94118
20;100;1.24952;0.589938;2.89333
20;100;1.18009;0.450521;2.83871
20;100;1.29915;0.446053;2.86667
20;100;1.22967;0.457355;2.87097
20;100;1.19992;0.683322;2.42353
20;100;1.27929;0.493663;3.23077
20;100;1.36868;0.533873;2.60294
20;100;1.22967;0.527355;2.73913
20;100;1.28922;0.444867;2.85000
20;100;1.20983;0.554688;3.08333
20;100;1.19;0.531933;2.71429
20;100;1.14044;0.36463;2.88889
20;100;1.22967;0.477355;2.48438
20;100;1.19992;0.473322;3.32813
20;100;1.22967;0.457355;2.74194
20;100;1.14044;0.504629;3.04412
20;100;1.19992;0.633322;2.90000
20;100;1.17017;0.489085;3.27273
20;100;1.24952;0.449938;2.72131
20;100;1.12063;0.461529;3.06250
20;100;1.16026;0.487625;2.84848
20;100;1.31901;0.598371;3.13333
20;100;1.24952;0.519938;2.48529
20;100;1.24952;0.509938;2.86567
20;100;1.33887;0.580621;3.72603
20;100;1.20983;0.514688;3.04412
20;100;1.19;0.481933;2.86154
20;100;1.19992;0.513322;2.54412
20;100;1.20983;0.534688;2.78571
20;100;1.19;0.441933;2.59016
20;100;1.19992;0.473322;2.75000
20;100;1.15035;0.44614;2.50000
20;100;1.24952;0.539938;2.28571
20;100;1.22967;0.617355;2.35897
20;100;1.22967;0.417355;2.84483
20;100;1.17017;0.389085;3.32143
20;100;1.37861;0.514927;2.63636
20;100;1.18009;0.450521;2.96774
20;100;1.19992;0.623322;2.62025
20;100;1.28922;0.474867;3.22222
20;100;1.11073;0.429938;2.88525
20;100;1.21975;0.596032;2.43421
20;100;1.15035;0.49614;2.97015
20;100;1.18009;0.450521;3.09677
20;100;1.29915;0.536053;4.53623
20;100;1.21975;0.536032;2.88571
20;100;1.19992;0.533322;3.44286
20;100;1.19;0.481933;2.35385
20;100;1.23959;0.478657;3.95313
20;100;1.19;0.421933;2.93220
20;100;1.19992;0.553322;2.51389
20;100;1.24952;0.529938;3.07246
20;100;1.26937;0.502441;3.57576
20;100;1.22967;0.417355;3.10345
20;100;1.22967;0.547355;2.59155
20;100;1.16026;0.357625;2.83019
20;100;1.17017;0.569085;2.75676
20;100;1.21975;0.496032;2.63636
20;100;1.19992;0.493322;2.83333
20;100;1.42831;0.579974;3.59722
20;100;1.24952;0.489938;2.40000
20;100;1.16026;0.477625;2.73846
20;100;1.20983;0.564688;2.39726
20;100;1.22967;0.477355;3.45313
20;100;1.20983;0.474688;2.60938
20;100;1.21975;0.406032;2.92982
20;100;1.20983;0.374688;3.03704
20;100;1.15035;0.48614;2.53030
20;100;1.28922;0.534867;2.68116
20;100;1.22967;0.427355;2.71186
20;100;1.17017;0.429085;2.35000
20;100;1.19;0.491933;4.00000
20;100;1.14044;0.464629;3.10938
20;100;1.10083;0.508318;2.56522
20;100;1.15035;0.46614;3.06250
20;100;1.18009;0.630521;2.37500
20;100;1.20983;0.564688;3.28767
20;100;1.14044;0.444629;2.41935
20;100;1.31901;0.548371;3.10000
20;100;1.19;0.481933;2.61538
20;100;1.07113;0.343282;2.45283
20;100;1.26937;0.522441;2.42647
20;100;1.19;0.511933;2.47059
20;100;1.32894;0.499504;3.03077
20;100;1.30908;0.397221;2.92727
20;100;1.16026;0.517625;3.17391
20;100;1.19;0.451933;3.30645
20;100;1.14044;0.454629;2.74603
20;100;1.22967;0.467355;2.68254
20;100;1.19992;0.433322;2.83333
20;100;1.18009;0.540521;2.91549
20;100;1.13054;0.503093;3.26471
20;100;1.18009;0.540521;2.61972
20;100;1.27929;0.533663;3.26087
20;100;1.17017;0.489085;2.63636
20;100;1.20983;0.534688;3.30000
20;100;1.25944;0.581199;2.58108
20;100;1.18009;0.460521;2.58730
20;100;1.17017;0.459085;3.07937
20;100;1.19992;0.433322;2.91667
20;100;1.17017;0.429085;3.51667
20;100;1.22967;0.587355;2.40000
20;100;1.21975;0.466032;3.61905
20;100;1.24952;0.559938;2.97222
20;100;1.26937;0.472441;2.68254
20;100;1.19;0.491933;3.13636
20;100;1.12063;0.391529;2.84211
20;100;1.15035;0.39614;3.19298
20;100;1.17017;0.449085;2.88710
20;100;1.24952;0.529938;2.71014
20;100;1.10083;0.418318;4.61667
20;100;1.15035;0.51614;2.91304
20;100;1.21975;0.476032;2.84375
20;100;1.22967;0.487355;2.93846
20;100;1.15035;0.49614;2.88060
20;100;1.27929;0.443663;3.15000
20;100;1.25944;0.461199;2.77419
20;100;1.20983;0.534688;2.94286
20;100;1.12063;0.391529;2.82456
20;100;1.25944;0.461199;3.24194
20;100;1.38855;0.625965;2.92208
20;100;1.28922;0.514867;2.56716
20;100;1.18009;0.470521;3.51563
20;100;1.32894;0.549504;3.00000
20;100;1.18009;0.440521;2.93443
20;100;1.15035;0.47614;2.66154
20;100;1.20983;0.444688;2.54098
20;100;1.20983;0.554688;2.55556
20;100;1.28922;0.474867;3.28571
20;100;1.21975;0.436032;2.93333
20;100;1.31901;0.508371;2.89394
20;100;1.19992;0.613322;4.11538
20;100;1.32894;0.529504;3.47059
20;100;1.23959;0.588657;2.66667
20;100;1.24952;0.499938;3.06061
20;100;1.28922;0.534867;2.60870
20;100;1.26937;0.482441;2.57813
20;100;1.27929;0.533663;3.05797
20;100;1.29915;0.526053;2.75000
20;100;1.15035;0.53614;2.36620
20;100;1.19;0.411933;2.72414
20;100;1.21975;0.456032;2.96774
20;100;1.14044;0.434629;2.39344
20;100;1.25944;0.471199;2.82540
20;100;1.14044;0.324629;2.92000
20;100;1.16026;0.437625;3.59016
20;100;1.15035;0.59614;2.35065
20;100;1.24952;0.499938;3.04545
20;100;1.27929;0.503663;2.98485
20;100;1.22967;0.537355;2.65714
20;100;1.17017;0.509085;3.25000
20;100;1.15035;0.55614;2.38356
20;100;1.19992;0.513322;2.42647
20;100;1.14044;0.48463;2.71212
20;100;1.26937;0.472441;3.65079
20;100;1.15035;0.49614;2.82090
20;100;1.17017;0.439085;2.40984
20;100;1.13054;0.503093;2.72059
20;100;1.24952;0.469938;3.55556
20;100;1.14044;0.434629;3.08197
20;100;1.25944;0.431199;2.72881
20;100;1.19;0.421933;3.23729
20;100;1.17017;0.409085;2.67241
20;100;1.18009;0.480521;2.52308
20;100;1.20983;0.444688;3.34426
20;100;1.32894;0.519504;3.64179
20;100;1.26937;0.492441;3.50769
20;100;1.18009;0.410521;3.08621
20;100;1.20983;0.584688;2.21333
20;100;1.20983;0.574688;2.63514
20;100;1.16026;0.377625;3.32727
20;100;1.23959;0.558657;2.62500
20;100;1.22967;0.487355;2.78462
20;100;1.24952;0.499938;3.25758
20;100;1.20983;0.484688;3.04615
20;100;1.17017;0.449085;2.66129
20;100;1.23959;0.468657;3.44444
20;100;1.26937;0.452441;2.78689
20;100;1.23959;0.408657;3.03509
20;100;1.13054;0.423093;2.83333
20;100;1.21975;0.436032;3.18333
20;100;1.21975;0.516032;2.72059
20;100;1.26937;0.442441;2.86667
20;100;1.27929;0.503663;2.83333
20;100;1.27929;0.483663;3.25000
20;100;1.23959;0.448657;2.37705
20;100;1.19992;0.413322;2.89655
20;100;1.16026;0.527625;3.07143
20;100;1.18009;0.390521;3.32143
20;100;1.12063;0.431529;2.34426
20;100;1.18009;0.450521;2.96774
20;100;1.33887;0.600621;3.69333
20;100;1.24952;0.419938;3.15517
20;100;1.19;0.441933;3.52459
20;100;1.17017;0.409085;2.62069
20;100;1.24952;0.449938;3.29508
20;100;1.30908;0.457221;3.06557
20;100;1.25944;0.361199;3.23077
20;100;1.14044;0.434629;2.26230
20;100;1.28922;0.514867;3.13433
20;100;1.20983;0.454688;3.01613
20;100;1.16026;0.477625;2.46154
20;100;1.36868;0.493873;2.48438
20;100;1.14044;0.474629;3.30769
20;100;1.29915;0.466053;3.67742
20;100;1.24952;0.439938;3.38333
20;100;1.20983;0.534688;2.71429
20;100;1.15035;0.53614;2.56338
20;100;1.31901;0.468371;2.87097
20;100;1.22967;0.477355;2.84375
20;100;1.37861;0.574927;3.30556
20;100;1.16026;0.597625;2.37662
20;100;1.29915;0.456053;3.06557
20;100;1.16026;0.357625;3.35849
20;100;1.16026;0.437625;3.67213
20;100;1.22967;0.527355;3.40580
20;100;1.29915;0.486053;3.26563
20;100;1.18009;0.570521;2.66216
20;100;1.13054;0.423093;3.43333
20;100;1.32894;0.659504;3.16049
20;100;1.28922;0.474867;3.76190
20;100;1.17017;0.509085;2.77941
20;100;1.24952;0.489938;2.90769
20;100;1.10083;0.448318;2.71429
20;100;1.20983;0.504688;2.98507
20;100;1.32894;0.399504;3.29091
20;100;1.20983;0.454688;2.72581
20;100;1.24952;0.549938;2.33803
20;100;1.26937;0.452441;3.75410
20;100;1.22967;0.457355;3.00000
20;100;1.21975;0.456032;2.62903
20;100;1.10083;0.448318;2.57143
20;100;1.23959;0.578657;2.55405
20;100;1.19992;0.533322;3.62857
20;100;1.14044;0.524629;2.82857
20;100;1.17017;0.379085;3.07273
20;100;1.24952;0.479938;3.00000
20;100;1.36868;0.463873;2.72131
20;100;1.16026;0.447625;2.90323
20;100;1.19992;0.543322;3.01408
20;100;1.24952;0.559938;2.59722
20;100;1.21975;0.496032;2.69697
20;100;1.17017;0.409085;2.87931
20;100;1.21975;0.506032;2.95522
20;100;1.19992;0.423322;3.52542
20;100;1.21975;0.466032;3.26984
20;100;1.19;0.541933;2.92958
20;100;1.13054;0.483093;3.50000
20;100;1.19;0.491933;3.12121
20;100;1.21975;0.546032;2.46479
20;100;1.11073;0.349938;3.13208
20;100;1.19;0.601933;2.48052
20;100;1.19992;0.473322;3.14063
20;100;1.13054;0.553093;3.16438
20;100;1.17017;0.569085;2.64865
20;100;1.24952;0.509938;3.05970
20;100;1.28922;0.524867;3.13235
20;100;1.21975;0.466032;2.15873
20;100;1.18009;0.510521;2.97059
20;100;1.16026;0.487625;2.81818
20;100;1.24952;0.509938;2.71642
20;100;1.18009;0.440521;2.65574
20;100;1.16026;0.497625;3.16418
20;100;1.19;0.381933;3.50909
20;100;1.18009;0.480521;2.76923
20;100;1.17017;0.569085;2.72973
20;100;1.34881;0.471721;3.61290
20;100;1.23959;0.538657;2.64286
20;100;1.29915;0.486053;3.43750
20;100;1.15035;0.47614;3.58462
20;100;1.16026;0.477625;3.09231
20;100;1.10083;0.528318;3.26761
20;100;1.23959;0.618657;2.80769
20;100;1.23959;0.458657;3.75806
20;100;1.16026;0.427625;2.96667
20;100;1.22967;0.517355;2.51471
20;100;1.22967;0.607355;3.05195
20;100;1.28922;0.534867;3.08696
20;100;1.14044;0.48463;2.16667
20;100;1.17017;0.489085;3.31818
20;100;1.18009;0.510521;2.60294
20;100;1.23959;0.548657;3.00000
20;100;1.11073;0.499938;2.92647
20;100;1.25944;0.561199;2.65278
20;100;1.20983;0.474688;3.65625
20;100;1.16026;0.627625;2.32500
20;100;1.21975;0.546032;3.22535
20;100;1.21975;0.486032;3.23077
20;100;1.14044;0.374629;4.16364
20;100;1.22967;0.577355;2.66216
20;100;1.20983;0.374688;2.53704
20;100;1.29915;0.436053;2.69492
20;100;1.14044;0.49463;2.73134
20;100;1.21975;0.416032;3.94828
20;100;1.22967;0.577355;2.62162
20;100;1.19992;0.453322;2.90323
20;100;1.23959;0.408657;2.94737
20;100;1.14044;0.444629;2.87097
20;100;1.25944;0.451199;3.16393
20;100;1.19;0.461933;2.90476
20;100;1.19992;0.623322;2.67089
20;100;1.28922;0.514867;2.47761
20;100;1.19992;0.393322;2.53571
20;100;1.15035;0.53614;2.71831
20;100;1.26937;0.492441;2.75385
20;100;1.17017;0.489085;2.42424
20;100;1.19;0.461933;3.04762
20;100;1.13054;0.533093;2.49296
20;100;1.24952;0.379938;3.14815
20;100;1.20983;0.514688;3.23529
20;100;1.11073;0.429938;2.59016
20;100;1.18009;0.350521;3.21154
20;100;1.23959;0.538657;2.48571
20;100;1.26937;0.482441;2.92188
20;100;1.23959;0.478657;2.53125
20;100;1.34881;0.591721;2.85135
20;100;1.17017;0.479085;2.52308
20;100;1.19992;0.483322;2.47692
20;100;1.16026;0.507625;2.58824
20;100;1.22967;0.467355;2.88889
20;100;1.20983;0.424688;2.72881
20;100;1.13054;0.453093;2.49206
20;100;1.18009;0.400521;3.87719
20;100;1.25944;0.551199;2.87324
20;100;1.29915;0.516053;3.00000
20;100;1.26937;0.532441;2.72464
20;100;1.15035;0.43614;3.27869
20;100;1.19992;0.563322;2.57534
20;100;1.19;0.551933;3.41667
20;100;1.19992;0.463322;2.41270
20;100;1.37861;0.654927;3.01250
20;100;1.25944;0.431199;3.25424
20;100;1.16026;0.377625;2.87273
20;100;1.16026;0.497625;2.64179
20;100;1.21975;0.436032;3.90000
20;100;1.17017;0.579085;2.70667
20;100;1.19992;0.423322;4.52542
20;100;1.23959;0.468657;2.66667
20;100;1.26937;0.512441;2.86567
20;100;1.12063;0.491529;2.83582
20;100;1.20983;0.444688;2.54098
20;100;1.15035;0.49614;2.46269
20;100;1.14044;0.384629;3.53571
20;100;1.25944;0.461199;2.91935
20;100;1.14044;0.464629;2.51563
20;100;1.14044;0.434629;3.32787
20;100;1.23959;0.528657;3.13043
20;100;1.22967;0.557355;2.95833
20;100;1.23959;0.588657;2.52000
20;100;1.24952;0.529938;2.65217
20;100;1.20983;0.464688;2.65079
20;100;1.17017;0.429085;2.90000
20;100;1.19;0.601933;2.31169
20;100;1.14044;0.434629;2.75410
20;100;1.31901;0.598371;2.88000
20;100;1.25944;0.471199;2.57143
20;100;1.19;0.481933;3.12308
20;100;1.31901;0.458371;3.08197
20;100;1.17017;0.379085;2.94545
20;100;1.14044;0.42463;2.93333
20;100;1.23959;0.568657;3.15068
20;100;1.29915;0.526053;2.97059
20;100;1.29915;0.586053;2.63514
20;100;1.24952;0.509938;2.94030
20;100;1.27929;0.463663;3.11290
20;100;1.20983;0.444688;3.31148
20;100;1.22967;0.527355;2.47826
20;100;1.28922;0.534867;2.73913
20;100;1.25944;0.411199;3.08772
20;100;1.23959;0.448657;2.85246
20;100;1.17017;0.529085;2.34286
20;100;1.25944;0.451199;2.73770
20;100;1.17017;0.409085;2.79310
20;100;1.21975;0.506032;3.82090
20;100;1.19992;0.533322;2.51429
20;100;1.21975;0.596032;2.77632
20;100;1.27929;0.523663;2.41176
20;100;1.18009;0.550521;2.91667
20;100;1.21975;0.456032;2.80645
20;100;1.19;0.481933;2.80000
20;100;1.31901;0.478371;3.20635
20;100;1.21975;0.516032;2.55882
20;100;1.26937;0.422441;2.98276
20;100;1.16026;0.527625;2.95714
20;100;1.21975;0.596032;2.71053
20;100;1.20983;0.644688;2.58025
20;100;1.24952;0.499938;3.27273
20;100;1.19;0.521933;2.72464
20;100;1.11073;0.429938;2.55738
20;100;1.17017;0.539085;3.87324
20;100;1.18009;0.470521;3.39063
20;100;1.18009;0.480521;3.16923
20;100;1.26937;0.592441;2.82667
20;100;1.26937;0.502441;3.75758
20;100;1.19992;0.523322;2.95652
20;100;1.29915;0.616053;3.23377
20;100;1.22967;0.487355;3.56923
20;100;1.17017;0.479085;2.98462
20;100;1.19;0.391933;3.17857
20;100;1.29915;0.496053;2.89231
20;100;1.16026;0.547625;2.75000
20;100;1.22967;0.457355;2.77419
20;100;1.21975;0.446032;3.67213
20;100;1.29915;0.466053;3.11290
20;100;1.29915;0.526053;2.91176
20;100;1.19992;0.623322;3.01266
20;100;1.20983;0.454688;2.88710
20;100;1.24952;0.469938;3.42857
20;100;1.12063;0.451529;2.92063
20;100;1.19;0.451933;3.19355
20;100;1.14044;0.42463;2.68333
20;100;1.28922;0.594867;3.10667
20;100;1.23959;0.478657;2.98438
20;100;1.16026;0.557625;2.84932
20;100;1.23959;0.458657;3.08065
20;100;1.18009;0.500521;2.70149
20;100;1.24952;0.529938;2.78261
20;100;1.12063;0.411529;2.42373
20;100;1.19992;0.513322;2.95588
20;100;1.09093;0.406669;3.20339
20;100;1.20983;0.394688;3.08929
20;100;1.21975;0.586032;2.81333
20;100;1.20983;0.454688;2.72581
20;100;1.19992;0.573322;3.25676
20;100;1.21975;0.396032;3.30357
20;100;1.17017;0.449085;2.88710
20;100;1.13054;0.533093;2.49296
20;100;1.24952;0.479938;3.06250
20;100;1.26937;0.542441;3.01429
20;100;1.20983;0.534688;2.81429
20;100;1.28922;0.554867;3.02817
20;100;1.17017;0.609085;2.58974
20;100;1.19;0.511933;2.26471
20;100;1.25944;0.551199;3.91549
20;100;1.31901;0.488371;5.26563
20;100;1.14044;0.48463;2.74242
20;100;1.13054;0.483093;2.66667
20;100;1.26937;0.552441;2.73239
20;100;1.24952;0.459938;3.61290
20;100;1.22967;0.467355;2.82540
20;100;1.20983;0.534688;3.52857
20;100;1.28922;0.504867;2.69697
20;100;1.15035;0.58614;2.28947
20;100;1.15035;0.37614;2.76364
20;100;1.26937;0.572441;2.97260
20;100;1.34881;0.571721;3.11111
20;100;1.23959;0.478657;2.96875
20;100;1.15035;0.41614;2.61017
20;100;1.10083;0.538318;2.56944
20;100;1.19992;0.403322;3.21053
20;100;1.23959;0.418657;2.96552
20;100;1.11073;0.449938;2.50794
20;100;1.19992;0.503322;2.58209
20;100;1.17017;0.469085;2.90625
20;100;1.13054;0.413093;3.18644
20;100;1.20983;0.474688;2.26563
20;100;1.24952;0.459938;3.27419
20;100;1.26937;0.402441;2.91071
20;100;1.22967;0.437355;2.88333
20;100;1.29915;0.426053;3.03448
20;100;1.18009;0.560521;4.47945
20;100;1.36868;0.543873;4.36232
20;100;1.36868;0.503873;3.09231
20;100;1.23959;0.568657;3.20548
20;100;1.26937;0.502441;2.81818
20;100;1.18009;0.410521;2.51724
20;100;1.19992;0.423322;2.98305
20;100;1.17017;0.429085;2.96667
20;100;1.16026;0.497625;2.50746
20;100;1.16026;0.477625;2.78462
20;100;1.22967;0.447355;2.85246
20;100;1.19992;0.503322;2.88060
20;100;1.19992;0.493322;2.63636
20;100;1.24952;0.539938;2.44286
20;100;1.19992;0.533322;2.38571
20;100;1.27929;0.503663;2.83333
20;100;1.29915;0.496053;3.33846
20;100;1.31901;0.548371;3.42857
20;100;1.17017;0.459085;3.15873
20;100;1.14044;0.504629;3.33824
20;100;1.17017;0.539085;2.60563
20;100;1.27929;0.523663;3.14706
20;100;1.28922;0.534867;2.97101
20;100;1.23959;0.438657;3.21667
20;100;1.21975;0.486032;2.53846
20;100;1.22967;0.507355;2.80597
20;100;1.18009;0.560521;2.89041
20;100;1.19992;0.433322;3.38333
20;100;1.26937;0.542441;2.65714
20;100;1.28922;0.514867;2.53731
20;100;1.21975;0.446032;3.04918
20;100;1.15035;0.43614;2.67213
20;100;1.21975;0.466032;3.33333
20;100;1.19;0.551933;3.12500
20;100;1.20983;0.524688;3.27536
20;100;1.22967;0.547355;3.29577
20;100;1.22967;0.477355;2.76563
20;100;1.21975;0.536032;3.17143
20;100;1.33887;0.480621;3.23810
20;100;1.13054;0.493093;2.73134
20;100;1.10083;0.468318;2.67692
20;100;1.22967;0.507355;3.58209
20;100;1.20983;0.484688;2.76923
20;100;1.16026;0.527625;2.45714
20;100;1.16026;0.507625;2.85294
20;100;1.20983;0.474688;2.79688
20;100;1.28922;0.604867;2.98684
20;100;1.12063;0.431529;2.42623
20;100;1.16026;0.577625;2.98667
20;100;1.19992;0.553322;2.93056
20;100;1.21975;0.556032;3.62500
20;100;1.18009;0.450521;4.09677
20;100;1.35874;0.392805;3.75926
20;100;1.16026;0.447625;2.62903
20;100;1.21975;0.556032;2.88889
20;100;1.25944;0.441199;2.73333
20;100;1.19992;0.473322;2.87500
20;100;1.20983;0.564688;2.87671
20;100;1.27929;0.553663;2.80282
20;100;1.21975;0.566032;2.95890
20;100;1.21975;0.466032;3.14286
20;100;1.15035;0.59614;2.46753
20;100;1.28922;0.494867;3.10769
20;100;1.32894;0.599504;3.18667
20;100;1.19;0.581933;2.38667
20;100;1.22967;0.577355;2.24324
20;100;1.19;0.531933;2.47143
20;100;1.16026;0.407625;3.27586
20;100;1.19;0.481933;3.43077
20;100;1.21975;0.506032;2.79104
20;100;1.22967;0.487355;2.90769
20;100;1.18009;0.510521;3.01471
20;100;1.18009;0.490521;3.06061
20;100;1.22967;0.537355;2.78571
20;100;1.27929;0.533663;3.08696
20;100;1.18009;0.470521;2.87500
20;100;1.19;0.371933;3.20370
20;100;1.19;0.451933;3.04839
20;100;1.17017;0.519085;2.82609
20;100;1.20983;0.454688;2.75806
20;100;1.22967;0.547355;3.04225
20;100;1.14044;0.514629;2.82609
20;100;1.25944;0.491199;3.07692
20;100;1.26937;0.542441;2.21429
20;100;1.26937;0.562441;2.79167
20;100;1.22967;0.557355;2.86111
20;100;1.35874;0.532805;3.16176
20;100;1.18009;0.540521;2.56338
20;100;1.20983;0.454688;3.25806
20;100;1.21975;0.506032;2.85075
20;100;1.14044;0.574629;2.30667
20;100;1.24952;0.529938;2.43478
20;100;1.16026;0.497625;2.79104
20;100;1.19992;0.573322;2.85135
20;100;1.15035;0.45614;2.77778
20;100;1.13054;0.573093;2.41333
20;100;1.19992;0.443322;2.73770
20;100;1.22967;0.467355;2.34921
20;100;1.21975;0.506032;3.43284
20;100;1.16026;0.457625;3.09524
20;100;1.22967;0.437355;3.51667
20;100;1.23959;0.598657;3.35526
20;100;1.19;0.521933;3.82609
20;100;1.19;0.551933;2.69444
20;100;1.16026;0.527625;2.87143
20;100;1.17017;0.399085;2.68421
20;100;1.30908;0.497221;2.81538
20;100;1.20983;0.504688;2.38806
20;100;1.19992;0.493322;3.27273
20;100;1.23959;0.568657;3.04110
20;100;1.21975;0.506032;2.88060
20;100;1.21975;0.456032;3.29032
