p;L;L(p);R(p);T(p)
30;200
30;200;1.27697;0.295069;1.89623
30;200;1.28691;0.206884;2.07955
30;200;1.30183;0.244556;2.09474
30;200;1.47104;0.246063;2.35556
30;200;1.39139;0.269388;2.22680
30;200;1.272;0.16915;2.54321
30;200;1.40134;0.34092;1.92793
30;200;1.36651;0.240462;2.11957
30;200;1.26205;0.197292;2.00000
30;200;1.26702;0.183225;2.10714
30;200;1.44117;0.241835;2.32222
30;200;1.39139;0.254388;2.38298
30;200;1.40134;0.25592;2.01064
30;200;1.31676;0.162167;2.07692
30;200;1.36153;0.25966;2.00000
30;200;1.46606;0.25037;2.21978
30;200;1.3267;0.283876;2.12745
30;200;1.22725;0.255552;2.15000
30;200;1.36651;0.190462;2.32927
30;200;1.30681;0.235433;2.02151
30;200;1.26702;0.253225;1.94898
30;200;1.35656;0.218852;2.18182
30;200;1.43121;0.285387;2.18182
30;200;1.39139;0.229388;2.24719
30;200;1.49594;0.259457;2.15217
30;200;1.38144;0.302835;1.91346
30;200;1.55073;0.251542;2.40449
30;200;1.32173;0.268025;1.89899
30;200;1.30681;0.265433;2.12121
30;200;1.3267;0.178876;1.93827
30;200;1.33168;0.149721;2.54667
30;200;1.40632;0.266677;2.31250
30;200;1.35158;0.318038;2.11111
30;200;1.31178;0.326303;2.02703
30;200;1.30183;0.269556;1.99000
30;200;1.30681;0.200433;2.19767
30;200;1.44615;0.217552;2.15294
30;200;1.39139;0.239388;2.17582
30;200;1.38144;0.277835;2.17172
30;200;1.29686;0.303672;1.89720
30;200;1.30183;0.174556;2.00000
30;200;1.30183;0.264556;1.82828
30;200;1.29686;0.218672;2.25556
30;200;1.31676;0.192167;2.33333
30;200;1.47602;0.286751;2.41837
30;200;1.26205;0.197292;2.10345
30;200;1.29189;0.142782;2.12000
30;200;1.28194;0.24098;2.03158
30;200;1.40134;0.16092;2.33333
30;200;1.31676;0.207167;2.36782
30;200;1.34163;0.346391;1.99123
30;200;1.28194;0.17098;2.59259
30;200;1.31676;0.212167;2.11364
30;200;1.42623;0.174656;2.32468
30;200;1.24714;0.249449;2.22449
30;200;1.38641;0.218614;2.42529
30;200;1.30183;0.184556;2.19277
30;200;1.3466;0.262217;2.16495
30;200;1.31676;0.242167;2.27660
30;200;1.34163;0.206391;2.19767
30;200;1.33168;0.179721;2.40741
30;200;1.19744;0.124465;2.25333
30;200;1.33168;0.219721;2.11236
30;200;1.42125;0.273919;2.29897
30;200;1.272;0.25915;1.92929
30;200;1.27697;0.240069;2.03158
30;200;1.30183;0.194556;2.31765
30;200;1.29686;0.193672;2.11765
30;200;1.3466;0.207217;1.89535
30;200;1.34163;0.206391;2.52326
30;200;1.3267;0.243876;1.90426
30;200;1.30681;0.270433;2.32000
30;200;1.4113;0.21243;2.62353
30;200;1.37646;0.19705;2.63855
30;200;1.25708;0.256352;2.10101
30;200;1.3466;0.232217;2.09890
30;200;1.38641;0.288614;2.23762
30;200;1.29686;0.198672;2.22093
30;200;1.38144;0.227835;2.38202
30;200;1.4561;0.293971;2.22000
30;200;1.37148;0.356259;1.94783
30;200;1.23222;0.161538;2.01235
30;200;1.43121;0.270387;2.17708
30;200;1.24217;0.183486;2.24706
30;200;1.28691;0.231884;2.10753
30;200;1.35656;0.218852;1.98864
30;200;1.47104;0.271063;2.41053
30;200;1.4561;0.263971;2.08511
30;200;1.28691;0.241884;2.05263
30;200;1.43121;0.260387;2.44681
30;200;1.23222;0.256538;1.92000
30;200;1.33168;0.269721;1.84848
30;200;1.29189;0.212782;2.26966
30;200;1.3267;0.248876;2.12632
30;200;1.29189;0.217782;2.23333
30;200;1.31178;0.176303;2.28395
30;200;1.32173;0.223025;2.06667
30;200;1.35656;0.258852;2.38542
30;200;1.34163;0.246391;2.37234
30;200;1.30681;0.160433;2.33333
30;200;1.24714;0.294449;1.95327
30;200;1.28691;0.231884;2.27957
30;200;1.31676;0.232167;1.84783
30;200;1.47602;0.281751;2.19588
30;200;1.4113;0.26243;2.09474
30;200;1.3466;0.202217;2.20000
30;200;1.28194;0.20098;2.32184
30;200;1.29686;0.273672;2.04950
30;200;1.37148;0.216259;2.10345
30;200;1.36153;0.24466;1.97849
30;200;1.28194;0.28598;1.89423
30;200;1.33665;0.240559;2.56989
30;200;1.35656;0.253852;2.50526
30;200;1.4113;0.32743;2.13889
30;200;1.37148;0.241259;1.97826
30;200;1.30183;0.194556;2.05882
30;200;1.38641;0.263614;2.07292
30;200;1.28194;0.22098;2.14286
30;200;1.4113;0.21743;2.06977
30;200;1.28194;0.24598;2.13542
30;200;1.39637;0.245157;2.06522
30;200;1.34163;0.256391;1.85417
30;200;1.34163;0.191391;2.19277
30;200;1.31178;0.211303;1.84091
30;200;1.36651;0.230462;2.12222
30;200;1.35656;0.213852;2.24138
30;200;1.38641;0.238614;2.10989
30;200;1.3267;0.193876;2.10714
30;200;1.26205;0.242292;2.03125
30;200;1.33665;0.305559;2.23585
30;200;1.27697;0.255069;1.97959
30;200;1.3466;0.257217;2.05208
30;200;1.37646;0.21205;2.38372
30;200;1.38144;0.272835;2.15306
30;200;1.38641;0.273614;1.87755
30;200;1.30183;0.234556;1.96774
30;200;1.30183;0.174556;2.06173
30;200;1.30183;0.244556;2.00000
30;200;1.28691;0.261884;1.92929
30;200;1.30681;0.245433;2.11579
30;200;1.35158;0.228038;1.86667
30;200;1.46108;0.224673;2.47674
30;200;1.36153;0.27466;1.98990
30;200;1.35158;0.183038;2.04938
30;200;1.28194;0.26598;1.92000
30;200;1.38641;0.238614;2.34066
30;200;1.29686;0.248672;2.27083
30;200;1.40134;0.27592;2.14286
30;200;1.35656;0.203852;2.30588
30;200;1.35158;0.228038;2.00000
30;200;1.30183;0.159556;2.21795
30;200;1.32173;0.208025;2.02299
30;200;1.3267;0.223876;2.15556
30;200;1.29189;0.212782;2.08989
30;200;1.28691;0.201884;2.11494
30;200;1.30183;0.169556;2.05000
30;200;1.31676;0.192167;2.23810
30;200;1.33168;0.189721;2.03614
30;200;1.34163;0.226391;2.35556
30;200;1.30183;0.274556;2.30693
30;200;1.43121;0.270387;2.37500
30;200;1.27697;0.245069;2.41667
30;200;1.35158;0.243038;2.58065
30;200;1.41628;0.248177;2.06522
30;200;1.34163;0.171391;2.48101
30;200;1.38144;0.222835;2.47727
30;200;1.32173;0.223025;2.26667
30;200;1.36153;0.27466;2.03030
30;200;1.31178;0.256303;2.21649
30;200;1.33168;0.194721;2.36905
30;200;1.35158;0.248038;2.27660
30;200;1.32173;0.228025;2.20879
30;200;1.32173;0.218025;2.20225
30;200;1.481;0.227434;2.45349
30;200;1.25708;0.231352;2.23404
30;200;1.37646;0.24705;2.04301
30;200;1.37148;0.226259;2.17978
30;200;1.33168;0.204721;2.19767
30;200;1.38144;0.197835;2.73494
30;200;1.27697;0.245069;1.95833
30;200;1.31676;0.242167;2.11702
30;200;1.30681;0.215433;2.02247
30;200;1.34163;0.261391;2.02062
30;200;1.33168;0.264721;2.03061
30;200;1.34163;0.216391;2.21591
30;200;1.44615;0.267552;2.51579
30;200;1.29686;0.158672;2.61538
30;200;1.35158;0.233038;2.28571
30;200;1.4113;0.28243;2.17172
30;200;1.35656;0.218852;2.36364
30;200;1.3267;0.238876;2.36559
30;200;1.41628;0.268177;2.07292
30;200;1.30681;0.215433;2.24719
30;200;1.28194;0.26098;1.93939
30;200;1.30681;0.230433;1.92391
30;200;1.28194;0.21098;1.73034
30;200;1.37148;0.231259;2.13333
30;200;1.33665;0.220559;2.15730
30;200;1.24217;0.183486;1.97647
30;200;1.49096;0.243787;2.32584
30;200;1.33665;0.330559;1.97297
30;200;1.29189;0.177782;2.15854
30;200;1.33168;0.229721;2.25275
