p;L;L(p);R(p);T(p)
15;50;;;
15;50;1,05702;0,818092;3,29167
15;50;1,11609;0,645602;6,12821
15;50;1,15553;0,570189;3,4
15;50;1,0767;0,460685;3,2
15;50;1,11609;0,505602;3,15625
15;50;1,0767;0,540685;5,52941
15;50;1,1358;0,507935;3,59375
15;50;1,17526;0,672369;2,8
15;50;1,195;0,654477;3,74359
15;50;1,27405;0,722265;4,02381
15;50;1,23451;0,718494;3,88095
15;50;1,0767;0,560685;3,2
15;50;1,05702;0,618092;4,57895
15;50;1,11609;0,585602;3,72222
15;50;1,23451;0,638494;3,57895
15;50;1,05702;0,618092;3,94737
15;50;1,09639;0,683187;4,19512
15;50;1,17526;0,712368;5,04762
15;50;1,09639;0,563187;3,48571
15;50;1,0767;0,540685;5
15;50;1,17526;0,552369;3,35294
15;50;1,09639;0,623187;5,15789
15;50;1,17526;0,592369;4,72222
15;50;1,0767;0,460685;3,5
15;50;1,15553;0,550189;6,73529
15;50;1,09639;0,663187;3,175
15;50;1,0767;0,560685;3,51429
15;50;1,1358;0,627935;3,84211
15;50;1,05702;0,518092;4,54545
15;50;1,09639;0,583187;4,25
15;50;1,195;0,574477;4,57143
15;50;1,1358;0,647935;2,48718
15;50;1,09639;0,683187;3,78049
15;50;1,11609;0,585602;3,13889
15;50;1,1358;0,627935;3,15789
15;50;1,11609;0,665602;3,125
15;50;1,09639;0,643187;3,02564
15;50;1,1358;0,567935;3,68571
15;50;1,15553;0,630189;3,13158
15;50;1,23451;0,698494;3,31707
15;50;1,17526;0,532369;3,12121
15;50;1,03735;0,575401;3,08333
15;50;1,05702;0,598092;3,64865
15;50;1,0177;0,512609;4,63636
15;50;1,15553;0,630189;3,89474
15;50;1,15553;0,510189;3,71875
15;50;1,0767;0,560685;3,57143
15;50;1,09639;0,583187;4,97222
15;50;1,11609;0,445602;4,41379
15;50;1,195;0,614477;3,27027
15;50;1,1358;0,647935;3,25641
15;50;1,17526;0,552369;6,11765
15;50;1,05702;0,598092;3,78378
15;50;1,0767;0,540685;3,17647
15;50;1,17526;0,632369;3,28947
15;50;1,09639;0,623187;3,23684
15;50;1,09639;0,543187;6,26471
15;50;1,15553;0,630189;4,31579
15;50;1,21475;0,496518;3,29032
15;50;1,1358;0,587935;4,61111
15;50;1,15553;0,530189;4,87879
15;50;1,195;0,674477;3,275
15;50;1,1358;0,567935;4,31429
15;50;1,09639;0,523187;5,21212
15;50;1,0177;0,472609;3,32258
15;50;1,1358;0,527935;5
15;50;1,21475;0,596518;3,61111
15;50;1,05702;0,638092;3,87179
15;50;1,15553;0,510189;3,3125
15;50;1,03735;0,535401;3,41176
15;50;1,09639;0,543187;4,38235
15;50;1,09639;0,623187;4,26316
15;50;1,11609;0,645602;3,15385
15;50;1,15553;0,530189;4,93939
15;50;1,1358;0,607935;4,32432
15;50;1,21475;0,736518;4,76744
15;50;1,17526;0,612369;2,81081
15;50;1,11609;0,725602;4,06977
15;50;1,41264;0,693816;6,225
15;50;1,15553;0,530189;4,36364
