p;L;L(p);R(p);T(p)
5;150
5;150;1.02193;0.904406;8.23077
5;150;1.04189;0.865344;8.17518
5;150;1.01527;0.884086;7.97143
5;150;1.0552;0.879282;8.96403
5;150;1.04855;0.858982;9.44853
5;150;1.0552;0.845949;8.47761
5;150;1.09513;0.88101;8.07914
5;150;1.10844;0.988225;9.85161
5;150;1.06851;0.899873;9.07747
5;150;1.06186;0.832913;8.23485
5;150;1.02193;0.85774;8.24265
5;150;1.02858;0.878056;17.48201
5;150;1.06851;0.879873;8.07194
5;150;1.0552;0.892616;8.42553
5;150;1.04855;0.838982;15.81955
5;150;1.04855;0.865648;8.23358
5;150;1.07517;0.826829;8.54962
5;150;1.02193;0.831073;8.42424
5;150;1.03524;0.831702;7.82576
5;150;1.02193;0.824406;10.84733
5;150;1.02193;0.79774;8.29134
5;150;1.06186;0.919579;11.48966
5;150;1.07517;0.840162;11.06015
5;150;1.04189;0.89201;9.73759
5;150;1.10179;0.914619;9.06944
5;150;1.0552;0.905949;10.30070
5;150;1.06186;0.866246;9.38686
5;150;1.01527;0.877419;8.61151
5;150;1.07517;0.866829;8.34307
5;150;1.02193;0.804406;10.62500
5;150;1.10844;0.908225;8.95804
5;150;1.12176;0.935427;12.74150
5;150;1.06186;0.839579;9.05263
5;150;1.03524;0.858369;8.50000
5;150;1.04189;0.905344;8.47552
5;150;1.0552;0.845949;8.53731
5;150;1.0552;0.859282;9.09559
5;150;1.06851;0.893206;10.82979
5;150;1.08182;0.880448;7.20144
5;150;1.10179;0.901286;12.45775
5;150;1.0552;0.865949;8.62774
5;150;1.0552;0.872616;15.92754
5;150;1.0552;0.819282;7.83077
5;150;1.03524;0.871702;9.31884
5;150;1.02858;0.778056;9.14516
5;150;1.06851;0.893206;8.25532
5;150;1.06186;0.846246;7.90299
5;150;1.02193;0.811073;14.45736
5;150;1.06186;0.919579;9.25517
5;150;1.06851;0.919873;8.08965
5;150;1.07517;0.840162;9.18797
5;150;1.0552;0.885949;19.43571
