p;L;L(p);R(p);T(p)
5;100
5;100;1.05281;0.892508;14.84043
5;100;1.05281;0.852508;8.36667
5;100;1.03286;0.861591;8.02198
5;100;1.02289;0.871119;15.23913
5;100;1.06278;0.932954;8.24490
5;100;1.07276;0.893391;7.76596
5;100;1.01292;0.840638;8.95506
5;100;1.07276;0.913391;7.89583
5;100;1.06278;0.852954;7.21111
5;100;1.03286;0.831591;14.84091
5;100;1.05281;0.832508;14.90909
5;100;1.05281;0.862508;12.64835
5;100;1.02289;0.831119;10.34091
5;100;1.02289;0.861119;10.09890
5;100;1.03286;0.871591;7.40217
5;100;1.06278;0.892954;9.74468
5;100;1.05281;0.882508;7.47312
5;100;1.03286;0.821591;14.04598
5;100;1.10268;0.874656;10.47826
5;100;1.04284;0.812054;8.86047
5;100;1.04284;0.872054;8.61957
5;100;1.02289;0.841119;8.80899
5;100;1.04284;0.932054;8.05102
5;100;1.05281;0.822508;10.40230
5;100;1.06278;0.802954;8.04706
5;100;1.05281;0.872508;9.75000
5;100;1.05281;0.922508;11.06186
5;100;1.02289;0.801119;11.08235
5;100;1.04284;0.882054;8.66667
5;100;1.15257;0.886618;10.61290
5;100;1.04284;0.902054;8.15790
5;100;1.09271;0.914242;10.14583
5;100;1.03286;0.781591;11.07229
5;100;1.02289;0.881119;8.89247
5;100;1.02289;0.801119;9.21176
5;100;1.05281;0.822508;8.14943
5;100;1.02289;0.851119;14.18889
5;100;1.02289;0.881119;10.33333
5;100;1.08273;0.863821;10.93407
5;100;1.00295;0.810147;9.04651
5;100;1.02289;0.851119;9.21111
5;100;1.02289;0.821119;14.18391
5;100;1.02289;0.801119;9.58823
5;100;1.05281;0.832508;10.68182
5;100;1.03286;0.841591;9.43820
5;100;1.06278;0.842954;11.05618
5;100;1.00295;0.790147;7.80952
5;100;1.04284;0.912054;10.46875
5;100;1.06278;0.812954;9.90698
5;100;1.02289;0.841119;9.43820
5;100;1.02289;0.861119;10.10989
5;100;1.03286;0.901591;8.60000
5;100;1.07276;0.863391;8.81319
5;100;1.02289;0.871119;7.81522
5;100;1.06278;0.822954;10.41379
5;100;1.01292;0.810638;9.58140
5;100;1.03286;0.891591;7.96809
5;100;1.08273;0.923821;9.12371
5;100;1.07276;0.913391;9.19792
5;100;1.05281;0.902508;13.44211
5;100;1.06278;0.862954;7.72527
5;100;1.02289;0.821119;9.47126
5;100;1.05281;0.892508;7.38298
5;100;1.09271;0.904242;13.54737
5;100;1.04284;0.892054;9.69149
5;100;1.08273;0.903821;11.69474
5;100;1.10268;0.874656;16.34783
5;100;1.02289;0.841119;10.61798
5;100;1.03286;0.871591;15.53261
5;100;1.00295;0.790147;8.86905
5;100;1.01292;0.880638;8.87097
5;100;1.04284;0.842054;10.31461
5;100;1.03286;0.831591;10.20455
5;100;1.04284;0.792054;9.09524
5;100;1.02289;0.861119;7.46154
5;100;1.03286;0.911591;8.48958
5;100;1.01292;0.880638;9.02151
5;100;1.05281;0.872508;14.97826
5;100;1.03286;0.891591;10.23404
5;100;1.02289;0.931119;7.71429
5;100;1.05281;0.862508;7.71429
5;100;1.03286;0.841591;8.56180
5;100;1.04284;0.892054;10.42553
5;100;1.03286;0.821591;8.52874
5;100;1.11266;0.905063;8.54737
5;100;1.05281;0.852508;12.11111
5;100;1.03286;0.841591;9.22472
5;100;1.01292;0.830638;11.67045
5;100;1.02289;0.881119;9.03226
5;100;1.02289;0.841119;8.15730
5;100;1.06278;0.862954;12.03297
5;100;1.08273;0.873821;8.61957
5;100;1.07276;0.853391;8.80000
5;100;1.02289;0.831119;9.48864
5;100;1.05281;0.882508;14.63441
5;100;1.07276;0.873391;8.39130
5;100;1.06278;0.922954;11.41237
5;100;1.04284;0.852054;8.51111
5;100;1.03286;0.871591;8.01087
5;100;1.09271;0.894242;8.35106
5;100;1.03286;0.861591;7.83517
5;100;1.06278;0.862954;8.14286
5;100;1.04284;0.872054;7.94565
5;100;1.06278;0.922954;10.73196
5;100;1.11266;0.835063;14.39773
5;100;1.07276;0.913391;10.25000
5;100;1.05281;0.862508;7.63736
5;100;1.05281;0.852508;11.25556
5;100;1.03286;0.841591;7.94382
5;100;1.07276;0.873391;13.61957
5;100;1.06278;0.842954;8.65169
5;100;1.02289;0.871119;8.89130
5;100;1.03286;0.861591;11.98901
5;100;1.07276;0.843391;7.84270
5;100;1.07276;0.793391;7.64286
5;100;1.04284;0.892054;8.08511
5;100;1.08273;0.873821;8.64130
5;100;1.04284;0.852054;9.07778
5;100;1.06278;0.862954;13.28571
5;100;1.08273;0.883821;7.98925
5;100;1.04284;0.812054;8.31395
5;100;1.07276;0.823391;11.55172
5;100;1.04284;0.822054;8.65517
5;100;1.03286;0.921591;13.69072
5;100;1.06278;0.782954;8.42169
5;100;1.07276;0.903391;8.05263
5;100;1.06278;0.872954;12.52174
5;100;1.06278;0.862954;9.37363
5;100;1.03286;0.781591;9.10843
5;100;1.02289;0.821119;10.18391
5;100;1.01292;0.860638;9.08791
5;100;1.11266;0.895063;13.32979
5;100;1.02289;0.821119;7.88506
5;100;1.04284;0.862054;10.96703
5;100;1.09271;0.924242;7.95876
5;100;1.09271;0.844242;13.01124
5;100;1.06278;0.902954;11.06316
5;100;1.11266;0.895063;11.82979
5;100;1.02289;0.791119;7.80952
5;100;1.03286;0.801591;8.69412
5;100;1.05281;0.872508;9.98913
5;100;1.05281;0.822508;14.96552
5;100;1.03286;0.841591;7.85393
5;100;1.04284;0.872054;10.43478
5;100;1.07276;0.883391;8.20430
5;100;1.05281;0.832508;9.18182
5;100;1.03286;0.891591;9.40425
5;100;1.09271;0.814242;10.17442
5;100;1.05281;0.862508;15.14286
5;100;1.07276;0.873391;12.47826
5;100;1.03286;0.821591;9.31034
5;100;1.06278;0.912954;9.41667
5;100;1.10268;0.894656;8.46809
5;100;1.02289;0.821119;8.62069
5;100;1.04284;0.822054;10.32184
5;100;1.00295;0.780147;11.13253
5;100;1.04284;0.882054;9.03226
5;100;1.06278;0.872954;8.66304
5;100;1.09271;0.864242;8.04396
5;100;1.04284;0.822054;8.54023
5;100;1.08273;0.893821;8.52128
5;100;1.07276;0.893391;10.70213
5;100;1.06278;0.862954;15.48352
5;100;1.04284;0.832054;9.64773
5;100;1.02289;0.861119;10.35165
5;100;1.07276;0.813391;7.10465
5;100;1.05281;0.852508;8.76667
