p;L;L(p);R(p);T(p)
35;50;;;
35;50;1,29278;0,0692652;2,29412
35;50;1,215;0,0519341;1,41176
35;50;1,48829;0,0848304;2,25
35;50;1,52753;0,0708724;1,93333
35;50;1,33177;0,117192;1,73684
35;50;1,39037;0,128268;2,26316
35;50;1,25385;0,18086;1,47826
35;50;1,31227;0,0932857;2,44444
35;50;1,215;0,0119341;2,53333
35;50;1,35129;0,100988;2,27778
35;50;1,35129;0,0409879;1,8
35;50;1,215;0,151934;2
35;50;1,15688;0,177461;1,375
35;50;1,11824;0;1,76923
35;50;1,17623;0,102439;1,8
35;50;1,23442;0,216465;1,76
35;50;1,33177;0,0971917;1,88889
35;50;01,01,1956;0,0872608;1,73684
35;50;1,37082;0,104679;2,33333
35;50;1,27331;0,165125;1,77273
35;50;1,33177;0,0571917;2,1875
35;50;1,33177;0,137192;2,1
35;50;1,23442;0,0764653;1,72222
35;50;1,27331;0,0451251;2,125
35;50;1,31227;0,0332857;2,4
35;50;1,37082;0,0846785;2,05882
35;50;1,46868;0,161691;2,1
35;50;1,33177;0,0971917;2
35;50;1,29278;0,169265;2,18182
35;50;1,39037;0,108268;2,16667
35;50;01,01,4295;0,135159;1,78947
35;50;1,35129;0;2,90909
35;50;1,25385;0,0208603;1,6
35;50;1,40993;0,0117603;1,61538
35;50;1,48829;0,10483;3
35;50;1,31227;0,0532857;1,75
35;50;1,56682;0,0966173;1,375
35;50;1,31227;0;2,46154
35;50;1,46868;0,121691;2
35;50;1,48829;0,14483;2,10526
35;50;1,37082;0,184679;1,95455
35;50;1,52753;0,310872;1,66667
35;50;1,25385;0,16086;1,45455
35;50;1,23442;0;2
35;50;1,46868;0,121691;1,61111
35;50;1,215;0,0919341;1,57895
35;50;1,27331;0,0851251;2,11111
35;50;1,27331;0,0651251;2,94118
35;50;1,39037;0,088268;2,23529
35;50;1,25385;0,0608603;2,88235
35;50;1,40993;0,0917603;2,52941
35;50;1,54717;0,133781;1,5
35;50;01,01,1956;0,0672608;2,38889
35;50;1,48829;0,14483;2,52632
35;50;1,31227;0,0132857;2,42857
35;50;1,27331;0,165125;1,63636
35;50;1,50791;0,0878899;2,0625
35;50;1,17623;0,0624387;2,38889
35;50;1,31227;0,133286;2,45
35;50;1,35129;0,140988;2,05
35;50;1,31227;0,133286;1,85
35;50;1,50791;0,12789;1,77778
35;50;1,40993;0,0117603;2,15385
35;50;1,29278;0,189265;1,6087
35;50;1,27331;0,125125;2,05
35;50;1,35129;0,0809879;1,76471
35;50;1,33177;0,157192;1,7619
35;50;1,44908;0,0984682;1,70588
35;50;1,29278;0,109265;1,57895
35;50;1,40993;0,0517603;1,93333
35;50;1,25385;0,22086;2,44
35;50;1,39037;0,128268;2
35;50;1,13755;0,05232;2,44444
35;50;1,50791;0,14789;1,89474
35;50;1,35129;0,000987844;1,69231
35;50;1,46868;0,221691;1,86957
35;50;1,27331;0,0851251;2,11111
35;50;1,31227;0,0732857;1,88235
35;50;1,27331;0,0251251;2,2
35;50;1,54717;0;2,63636
35;50;1,23442;0,236465;1,42308
35;50;1,23442;0,176465;1,6087
35;50;1,31227;0,0732857;2,41176
35;50;1,31227;0;2,23077
35;50;1,27331;0,125125;1,8
35;50;1,56682;0,116617;2,82353
35;50;1,39037;0,028268;1,64286
35;50;01,01,1956;0,0872608;1,63158
35;50;1,29278;0,00926516;2,07143
35;50;1,44908;0,0984682;1,58824
35;50;1,29278;0,149265;1,7619
35;50;01,01,4295;0,115159;1,61111
35;50;1,15688;0,0774608;1,63158
35;50;1,62581;0,044723;2,15385
35;50;1,29278;0;1,53846
35;50;1,33177;0,0371917;1,53333
35;50;1,35129;0,0809879;2,11765
35;50;1,27331;0,145125;1,57143
35;50;1,33177;0,0571917;1,75
35;50;1,15688;0;1,57143
35;50;1,27331;0,0651251;1,41176
35;50;1,48829;0,12483;1,77778
35;50;1,23442;0,0564653;1,70588
35;50;1,29278;0,109265;1,36842
35;50;1,27331;0,0051251;2,28571
35;50;1,35129;0,0609878;1,5625
35;50;1,44908;0,0984682;1,70588
35;50;1,44908;0,118468;2,05556
35;50;1,33177;0,0771917;2,29412
35;50;1,33177;0,0571917;1,3125
35;50;1,25385;0,000860311;2,07143
35;50;1,33177;0,0371917;1,93333
35;50;1,35129;0,0809879;2,17647
35;50;1,25385;0,24086;1,61538
35;50;1,27331;0,145125;1,42857
35;50;1,37082;0,0246785;2,35714
35;50;1,29278;0,0292652;1,8
35;50;1,37082;0,0446785;2,33333
35;50;1,29278;0,109265;1,78947
35;50;1,40993;0,0117603;1,69231
35;50;1,13755;0,09232;2,2
35;50;01,01,1956;0,187261;1,75
35;50;1,50791;0,0878899;1,9375
35;50;1,31227;0,113286;2,31579
35;50;1,31227;0,193286;1,82609
35;50;1,40993;0,0917603;1,64706
35;50;1,33177;0,0971917;2,05556
35;50;1,33177;0,157192;1,71429
35;50;1,40993;0,11176;2,44444
35;50;1,23442;0,0764653;2,38889
35;50;1,31227;0,0332857;1,53333
35;50;1,35129;0,140988;2,1
35;50;1,29278;0,0692652;1,35294
35;50;1,35129;0,120988;1,42105
35;50;1,33177;0,157192;1,95238
35;50;1,09896;0,0215177;1,70588
35;50;1,07971;0;1,85714
35;50;1,31227;0,173286;1,81818
35;50;1,37082;0,0646785;1,6875
35;50;1,33177;0,0371917;2,2
35;50;1,40993;0,13176;2,47368
35;50;1,44908;0,0784682;1,5
35;50;1,31227;0,133286;1,6
35;50;1,27331;0,0651251;1,64706
35;50;1,40993;0,0517603;1,66667
35;50;1,215;0,0519341;1,94118
35;50;1,44908;0,0584682;1,8
35;50;1,27331;0;1,84615
35;50;1,35129;0,0409879;2,26667
35;50;1,215;0;2
35;50;1,27331;0,0851251;1,72222
35;50;1,29278;0;2,69231
35;50;01,01,4295;0,295159;1,66667
35;50;1,50791;0,14789;1,73684
35;50;1,35129;0,0609878;1,8125
35;50;1,37082;0;2,5
35;50;1,31227;0;3,81818
35;50;01,01,1956;0,0672608;2
35;50;1,33177;0,0971917;1,61111
35;50;1,46868;0,101691;1,82353
35;50;1,39037;0,068268;2,375
35;50;1,29278;0;2,66667
35;50;1,29278;0,0892652;1,5
35;50;1,48829;0,0248304;2
35;50;1,35129;0;1,66667
35;50;1,25385;0,16086;1,5
35;50;1,27331;0,105125;1,68421
35;50;1,52753;0,0708724;1,6
35;50;1,33177;0,0771917;2,29412
35;50;1,37082;0,124679;2,47368
35;50;1,40993;0,0717603;1,75
35;50;1,37082;0,00467853;3
35;50;1,31227;0,0732857;1,70588
35;50;1,215;0,111934;1,25
35;50;1,33177;0;1,76923
35;50;1,29278;0,109265;2
35;50;1,48829;0,0448304;2,57143
35;50;1,27331;0,0651251;1,94118
35;50;1,33177;0,0371917;1,73333
35;50;1,27331;0,0251251;2,73333
35;50;1,44908;0,178468;1,7619
35;50;1,40993;0,0917603;1,76471
35;50;1,29278;0,0692652;1,64706
35;50;1,54717;0,173781;2,25
35;50;1,23442;0,0364653;1,5625
35;50;1,56682;0,196617;2,2381
35;50;1,52753;0,130872;1,83333
35;50;1,44908;0,0384682;4,5
35;50;1,33177;0,217192;1,75
35;50;1,31227;0,0732857;1,94118
35;50;01,01,4295;0,115159;1,38889
35;50;1,58647;0,219385;2,13636
35;50;1,29278;0,0292652;2,4
35;50;1,25385;0,0608603;1,70588
35;50;1,31227;0,253286;1,69231
35;50;1,27331;0,0651251;2
35;50;1,31227;0,173286;1,81818
35;50;1,37082;0,244679;1,64
35;50;1,31227;0,0732857;2,05882
35;50;1,52753;0,0508724;1,85714
35;50;1,31227;0,133286;1,55
35;50;1,23442;0,0964653;2,21053
35;50;1,56682;0,0766173;2,73333
35;50;1,40993;0,0317603;1,85714
35;50;1,33177;0,0971917;1,61111
35;50;1,33177;0,117192;1,47368
35;50;1,29278;0,0492651;1,875
35;50;1,54717;0,0737807;1,53333
35;50;1,46868;0;1,6
35;50;1,33177;0,0771917;1,82353
35;50;1,37082;0,0646785;2,0625
35;50;1,25385;0,12086;1,8
35;50;1,31227;0,253286;1,92308
35;50;1,29278;0,229265;1,8
35;50;1,40993;0,15176;1,95
35;50;1,29278;0,00926516;1,78571
35;50;1,44908;0,0784682;2,0625
35;50;1,29278;0,0692652;1,76471
35;50;1,33177;0,0371917;1,6
35;50;1,23442;0;2,35714
35;50;1,35129;0,0209879;2,42857
35;50;1,23442;0,0164653;1,93333
35;50;1,39037;0;1,91667
35;50;1,29278;0,00926516;1,92857
35;50;1,31227;0,113286;1,52632
35;50;1,37082;0,284679;1,92593
35;50;1,39037;0,168268;1,71429
35;50;1,35129;0,0409879;1,8
35;50;1,35129;0,100988;1,72222
35;50;1,31227;0;2,66667
35;50;1,35129;0,0409879;1,8
35;50;1,44908;0,138468;2
35;50;1,39037;0,208268;2,13043
35;50;1,31227;0,113286;1,94737
35;50;1,37082;0,144679;2,2
35;50;1,33177;0,0971917;2,22222
35;50;1,27331;0,225125;1,36
35;50;1,31227;0,0132857;2,28571
35;50;1,25385;0,0208603;1,86667
35;50;1,25385;0,14086;1,95238
35;50;1,33177;0,157192;1,71429
35;50;1,46868;0,121691;1,72222
35;50;1,37082;0,0446785;2,46667
35;50;1,215;0,0319341;1,75
35;50;1,15688;0,0974609;1,85
35;50;1,29278;0,0892652;1,44444
35;50;1,40993;0,0317603;3,42857
35;50;1,39037;0,048268;2,13333
35;50;1,50791;0,0878899;1,9375
35;50;1,52753;0,0908724;1,9375
35;50;1,27331;0,0851251;2,11111
35;50;1,25385;0,000860311;1,71429
35;50;1,37082;0,0846785;1,58824
35;50;1,25385;0,0408603;2,0625
35;50;1,33177;0,157192;2,47619
35;50;1,29278;0,00926516;1,5
35;50;1,31227;0,0732857;1,76471
35;50;1,40993;0,0917603;1,88235
35;50;1,39037;0,108268;1,66667
35;50;1,39037;0,128268;1,73684
35;50;1,27331;0,0451251;2,125
35;50;1,39037;0,168268;1,71429
35;50;1,37082;0,0246785;1,92857
35;50;1,37082;0,0646785;2,0625
35;50;1,25385;0,0808603;1,22222
35;50;1,37082;0,0846785;1,70588
35;50;1,25385;0,0208603;2
35;50;1,48829;0,16483;1,45
35;50;1,31227;0,153286;1,95238
35;50;1,37082;0,0646785;1,9375
35;50;1,35129;0,0409879;2,06667
35;50;1,46868;0,0816909;2,3125
35;50;1,17623;0,0824387;1,73684
35;50;1,50791;0,22789;2,04348
35;50;1,31227;0,0332857;2,26667
35;50;1,46868;0,101691;1,64706
35;50;1,56682;0,116617;2,35294
35;50;1,215;0,0719341;1,38889
35;50;1,48829;0,0248304;1,69231
35;50;1,35129;0,0609878;1,625
35;50;1,44908;0,0384682;2
35;50;1,39037;0,148268;2,6
35;50;1,35129;0,0209879;1,92857
35;50;1,31227;0,0132857;2,42857
35;50;1,27331;0,0651251;2,58824
35;50;1,31227;0,173286;2,18182
35;50;1,37082;0,104679;1,5
35;50;01,01,4295;0,0351592;1,85714
35;50;1,52753;0,0908724;2,1875
35;50;1,27331;0,125125;1,7
35;50;1,29278;0;1,83333
35;50;1,33177;0,137192;2,05
35;50;1,37082;0,124679;1,78947
35;50;1,33177;0,117192;1,63158
35;50;1,39037;0,028268;1,85714
35;50;1,31227;0,133286;1,85
35;50;1,215;0,0119341;1,8
35;50;01,01,4295;0,115159;1,72222
35;50;1,29278;0,149265;1,95238
35;50;1,48829;0,0248304;2,46154
35;50;01,01,1956;0,0872608;2,63158
35;50;1,37082;0,124679;1,47368
35;50;1,35129;0,0809879;2
35;50;1,27331;0,0651251;1,23529
35;50;1,33177;0,277192;1,48148
35;50;1,25385;0,10086;1,68421
35;50;1,35129;0,180988;1,95455
35;50;1,33177;0;1,69231
35;50;1,35129;0,0609878;2,1875
35;50;1,25385;0,0208603;1,6
35;50;1,13755;0,03232;2
35;50;1,23442;0,0164653;2,4
