p;L;L(p);R(p);T(p)
10;75
10;75;1.11378;0.816882;5.72059
10;75;1.12702;0.671271;4.59649
10;75;1.07404;0.61356;6.05660
10;75;1.07404;0.666894;4.15789
10;75;1.07404;0.65356;5.51786
10;75;1.14027;0.885635;6.54795
10;75;1.10053;0.602468;6.82692
10;75;1.10053;0.762468;5.70313
10;75;1.10053;0.762468;6.18750
10;75;1.12702;0.777937;4.40000
10;75;1.07404;0.81356;5.83824
10;75;1.11378;0.736882;5.67742
10;75;1.07404;0.840227;4.48571
10;75;1.10053;0.762468;4.78125
10;75;1.08728;0.614694;6.73585
10;75;1.07404;0.746894;5.79365
10;75;1.0608;0.745732;5.66667
10;75;1.12702;0.817937;5.16176
10;75;1.07404;0.666894;6.50877
10;75;1.07404;0.73356;6.40323
10;75;1.07404;0.81356;4.54412
10;75;1.08728;0.641361;4.96364
10;75;1.07404;0.73356;5.58065
10;75;1.0608;0.772398;4.67692
10;75;1.10053;0.629135;4.27778
10;75;1.04756;0.74454;4.88889
10;75;1.10053;0.735801;6.93548
10;75;1.14027;0.605635;5.34615
10;75;1.16678;0.767628;6.20313
10;75;1.0608;0.719065;4.75410
10;75;1.04756;0.74454;4.60317
10;75;1.08728;0.734694;5.27419
10;75;1.04756;0.811207;5.13235
10;75;1.11378;0.750215;4.61905
10;75;1.04756;0.651207;5.21429
10;75;1.07404;0.680227;5.15517
10;75;1.11378;0.816882;4.52941
10;75;1.10053;0.842468;4.57143
10;75;1.08728;0.761361;4.45313
10;75;1.20656;0.823786;8.36765
10;75;1.08728;0.734694;4.51613
10;75;1.10053;0.669135;4.89474
10;75;1.16678;0.780961;4.98462
10;75;1.21982;0.891354;5.04110
10;75;1.04756;0.771207;5.13846
10;75;1.04756;0.70454;4.53333
10;75;1.04756;0.731207;4.53226
10;75;1.08728;0.641361;6.76364
10;75;1.11378;0.683549;5.00000
10;75;1.16678;0.767628;5.68750
10;75;1.14027;0.685635;8.12069
10;75;1.14027;0.792302;6.43939
10;75;1.11378;0.723549;6.62295
10;75;1.11378;0.630215;5.29630
10;75;1.12702;0.751271;5.03175
10;75;1.25961;0.80061;4.86364
10;75;1.18004;0.72859;5.60656
10;75;1.0608;0.679065;5.39655
10;75;1.08728;0.681361;5.63793
10;75;1.0608;0.772398;4.69231
10;75;1.10053;0.722468;6.36066
10;75;1.04756;0.811207;5.52941
10;75;1.11378;0.776882;5.38462
10;75;1.11378;0.710215;4.86667
10;75;1.0608;0.812398;5.30882
10;75;1.20656;0.757119;5.85714
10;75;1.16678;0.740961;4.98387
10;75;1.11378;0.710215;5.31667
10;75;1.03433;0.756652;4.76563
10;75;1.08728;0.721361;5.06557
10;75;1.04756;0.731207;4.95161
10;75;1.15353;0.739976;4.87097
10;75;1.14027;0.778969;4.52308
10;75;1.04756;0.70454;5.80000
10;75;1.07404;0.706894;6.93333
10;75;1.08728;0.654694;6.01786
10;75;1.03433;0.596652;7.86538
10;75;1.0608;0.705732;4.60000
10;75;1.12702;0.764604;5.26563
10;75;1.12702;0.724604;5.80328
10;75;1.15353;0.819976;5.38235
10;75;1.11378;0.776882;5.27692
10;75;1.08728;0.681361;4.81034
10;75;1.0608;0.692398;6.54237
10;75;1.08728;0.788028;5.27273
10;75;1.0608;0.719065;4.77049
10;75;1.11378;0.870215;6.69444
10;75;1.15353;0.766643;4.89063
10;75;1.0608;0.719065;4.67213
10;75;1.12702;0.684604;4.75862
10;75;1.11378;0.710215;6.08333
10;75;1.18004;0.821924;6.45588
10;75;1.03433;0.689986;5.64407
10;75;1.03433;0.623319;5.31482
10;75;1.08728;0.814694;4.42647
10;75;1.07404;0.760227;4.26563
10;75;1.10053;0.789135;4.68182
10;75;1.11378;0.776882;7.07692
10;75;1.0608;0.745732;4.65079
10;75;1.16678;0.780961;4.40000
10;75;1.07404;0.800227;4.83582
10;75;1.15353;0.779976;5.53846
10;75;1.08728;0.734694;4.29032
10;75;1.07404;0.73356;6.45161
10;75;1.15353;0.819976;7.44118
10;75;1.03433;0.703319;8.56667
10;75;1.07404;0.706894;5.33333
10;75;1.08728;0.761361;5.12500
10;75;1.10053;0.749135;5.23810
10;75;1.11378;0.776882;8.93846
10;75;1.12702;0.777937;5.52308
10;75;1.21982;0.691354;6.75862
10;75;1.08728;0.654694;8.60714
10;75;1.0608;0.745732;4.93651
10;75;1.18004;0.755257;7.09524
10;75;1.07404;0.77356;7.27692
10;75;1.16678;0.754294;5.04762
10;75;1.08728;0.828028;5.23188
10;75;1.07404;0.706894;5.50000
10;75;1.16678;0.727628;5.18033
10;75;1.07404;0.69356;5.59322
10;75;1.15353;0.726643;4.65574
10;75;1.11378;0.790215;5.37879
10;75;1.0608;0.639065;7.10909
10;75;1.0608;0.639065;5.80000
10;75;1.10053;0.802468;5.01493
10;75;1.08728;0.801361;5.68657
10;75;1.04756;0.637874;5.21818
10;75;1.11378;0.643549;5.20000
10;75;1.10053;0.682468;6.22414
10;75;1.23308;0.852236;5.52857
10;75;1.11378;0.643549;5.98182
10;75;1.0608;0.785732;4.22727
10;75;1.08728;0.788028;4.71212
10;75;1.07404;0.746894;5.85714
10;75;1.14027;0.765635;4.43750
10;75;1.12702;0.657937;6.46429
10;75;1.04756;0.66454;5.00000
10;75;1.1933;0.822865;5.22059
10;75;1.10053;0.695801;5.03390
10;75;1.10053;0.749135;5.66667
10;75;1.0608;0.759065;4.12500
10;75;1.08728;0.801361;8.44776
10;75;1.07404;0.73356;4.40323
10;75;1.07404;0.840227;4.35714
10;75;1.11378;0.750215;3.93651
10;75;1.11378;0.683549;5.31034
10;75;1.04756;0.731207;5.53226
10;75;1.10053;0.735801;4.29032
10;75;1.03433;0.676652;4.41379
10;75;1.12702;0.684604;5.20690
10;75;1.16678;0.807627;5.85075
10;75;1.07404;0.73356;5.27419
10;75;1.10053;0.762468;6.35938
10;75;1.14027;0.752302;5.58730
10;75;1.14027;0.792302;4.30303
10;75;1.08728;0.614694;5.94340
10;75;1.08728;0.681361;6.32759
10;75;1.10053;0.722468;4.08197
10;75;1.03433;0.689986;5.13559
10;75;1.04756;0.651207;5.19643
10;75;1.0608;0.745732;4.79365
10;75;1.12702;0.751271;6.52381
10;75;1.11378;0.736882;5.12903
10;75;1.07404;0.73356;5.93548
10;75;1.08728;0.628028;5.48148
10;75;1.15353;0.806643;4.52239
10;75;1.07404;0.73356;4.74194
10;75;1.10053;0.695801;5.08475
10;75;1.1933;0.662865;7.14286
10;75;1.12702;0.777937;5.18462
10;75;1.10053;0.749135;4.92063
10;75;1.16678;0.740961;6.11290
10;75;1.08728;0.748028;5.50794
10;75;1.08728;0.774694;5.06154
10;75;1.08728;0.694694;5.61017
10;75;1.11378;0.670215;4.66667
10;75;1.21982;0.79802;8.39394
10;75;1.04756;0.691207;6.44068
10;75;1.04756;0.691207;5.28814
10;75;1.07404;0.77356;4.36923
10;75;1.15353;0.726643;7.32787
10;75;1.12702;0.777937;5.20000
10;75;1.10053;0.722468;5.24590
10;75;1.10053;0.789135;6.66667
10;75;1.04756;0.691207;5.18644
10;75;1.07404;0.746894;4.74603
10;75;1.11378;0.776882;4.70769
10;75;1.16678;0.700961;6.33898
10;75;1.04756;0.731207;5.62903
10;75;1.18004;0.76859;5.28125
10;75;1.07404;0.720227;7.55738
10;75;1.07404;0.680227;5.43103
10;75;1.0608;0.692398;6.55932
10;75;1.08728;0.761361;5.68750
10;75;1.11378;0.790215;5.96970
10;75;1.07404;0.720227;4.91803
10;75;1.04756;0.74454;5.55556
10;75;1.16678;0.687627;7.63793
10;75;1.08728;0.734694;6.19355
10;75;1.12702;0.751271;4.61905
10;75;1.11378;0.816882;4.13235
10;75;1.07404;0.760227;4.62500
10;75;1.0608;0.679065;6.31034
10;75;1.11378;0.736882;5.17742
10;75;1.07404;0.706894;5.30000
10;75;1.04756;0.70454;4.01667
10;75;1.12702;0.777937;6.03077
10;75;1.07404;0.81356;5.16176
10;75;1.14027;0.778969;4.55385
10;75;1.15353;0.699976;5.38983
10;75;1.11378;0.790215;5.68182
10;75;1.07404;0.746894;5.60317
10;75;1.04756;0.70454;5.28333
10;75;1.07404;0.760227;6.85938
10;75;1.11378;0.750215;5.01587
10;75;1.0608;0.665732;5.00000
10;75;1.08728;0.801361;5.43284
10;75;1.07404;0.746894;4.63492
10;75;1.0608;0.772398;6.81538
10;75;1.16678;0.794294;5.18182
10;75;1.07404;0.786894;5.75758
10;75;1.15353;0.699976;5.11864
10;75;1.03433;0.609986;5.28302
10;75;1.18004;0.821924;5.64706
10;75;1.08728;0.801361;4.68657
10;75;1.20656;0.823786;7.23529
10;75;1.14027;0.845635;6.42857
10;75;1.11378;0.723549;4.81967
10;75;1.12702;0.711271;5.05000
10;75;1.0608;0.692398;8.64407
10;75;1.0608;0.799065;4.88060
10;75;1.11378;0.723549;6.13115
10;75;1.14027;0.805635;5.11940
10;75;1.15353;0.739976;5.59677
10;75;1.0608;0.665732;5.47368
10;75;1.12702;0.777937;6.23077
10;75;1.08728;0.721361;5.11475
10;75;1.03433;0.663319;5.05263
10;75;1.14027;0.805635;4.31343
10;75;1.15353;0.833309;4.49275
10;75;1.0608;0.759065;7.71875
10;75;1.03433;0.703319;4.68333
10;75;1.12702;0.791271;4.18182
10;75;1.08728;0.774694;6.23077
