p;L;L(p);R(p);T(p)
35;200
35;200;1.4223;0.148919;1.92405
35;200;1.31788;0.0594223;1.67692
35;200;1.45712;0.1198;1.76389
35;200;1.37256;0.115003;1.90541
35;200;1.55666;0.12516;2.20000
35;200;1.4024;0.115428;2.27397
35;200;1.33776;0.0983692;2.15278
35;200;1.44717;0.113149;2.05634
35;200;1.37754;0.140923;1.68354
35;200;1.45712;0.1498;1.62821
35;200;1.41732;0.143055;1.70513
35;200;1.41732;0.143055;1.91026
35;200;1.36262;0.0431419;2.03333
35;200;1.37754;0.110923;1.86301
35;200;1.39743;0.10954;1.61111
35;200;1.33279;0.152393;1.90361
35;200;1.4223;0.133919;1.82895
35;200;1.34273;0.0793378;1.91176
35;200;1.35765;0.0972012;1.90141
35;200;1.46707;0.0764296;2.14286
35;200;1.43722;0.0964743;2.00000
35;200;1.37256;0.110003;2.08219
35;200;1.4422;0.102314;2.10145
35;200;1.41235;0.117186;2.04110
35;200;1.35765;0.112201;2.01351
35;200;1.36262;0.113142;1.81081
35;200;1.41732;0.128056;1.57333
35;200;1.38748;0.137744;1.78205
35;200;1.43722;0.156474;1.98750
35;200;1.55168;0.109438;2.10448
35;200;1.41235;0.147186;1.89873
35;200;1.36262;0.123142;1.68421
35;200;1.39743;0.0745399;1.93846
35;200;1.41235;0.137186;1.89610
35;200;1.40737;0.11631;1.87671
35;200;1.36759;0.0840757;1.72059
35;200;1.4422;0.0973144;2.44118
35;200;1.48698;0.129623;2.01370
35;200;1.43722;0.0714743;1.92063
35;200;1.46707;0.11143;2.07143
35;200;1.31788;0;1.96226
35;200;1.33776;0.128369;1.71795
35;200;1.33279;0.0723935;1.98507
35;200;1.35268;0.101254;1.86111
35;200;1.4621;0.120618;2.01389
35;200;1.36759;0.114076;1.97297
35;200;1.59649;0.18077;1.87500
35;200;1.37754;0.0859233;1.58824
35;200;1.43722;0.111474;2.18310
35;200;1.4422;0.177314;1.80952
35;200;1.41732;0.0780555;2.21538
35;200;1.31291;0.088417;2.01408
35;200;1.32285;0.0754201;1.88235
35;200;1.35268;0.146254;1.75309
35;200;1.31291;0.113417;1.77632
35;200;1.45712;0.1648;1.60494
35;200;1.54173;0.152982;2.07895
35;200;1.35268;0.0662537;1.98462
35;200;1.4621;0.0956177;2.17910
35;200;1.36262;0.0881419;1.94203
35;200;1.52182;0.155011;2.27273
35;200;1.40737;0.0663101;1.82540
35;200;1.32782;0.11641;2.26316
35;200;1.38748;0.0977445;1.98571
35;200;1.35765;0.0822013;2.16176
35;200;1.37256;0.0600028;1.96825
35;200;1.2831;0.0922227;1.73973
35;200;1.4621;0.125618;1.82192
35;200;1.41235;0.152186;1.90000
35;200;1.49195;0.135408;2.01351
35;200;1.30794;0.0724041;1.91176
35;200;1.33279;0.102394;1.87671
35;200;1.4024;0.0954281;1.95652
35;200;1.33279;0.0273935;2.31034
35;200;1.4621;0.0906177;2.18182
35;200;1.34273;0.104338;1.83562
35;200;1.33776;0.123369;1.80519
35;200;1.43722;0.116474;2.05556
35;200;1.482;0.143833;2.01316
35;200;1.32782;0.0564104;2.00000
35;200;1.41732;0.118056;2.00000
35;200;1.39245;0.0936454;2.01449
35;200;1.44717;0.133149;2.09333
35;200;1.41732;0.163056;1.87805
35;200;1.4621;0.130618;1.97297
35;200;1.47205;0.137236;1.77333
35;200;1.37754;0.140923;1.72152
35;200;1.45215;0.108977;1.95714
35;200;1.35268;0.0862538;2.02899
35;200;1.37256;0.115003;1.77027
35;200;1.55168;0.169438;2.10127
35;200;1.47205;0.152236;1.88462
35;200;1.34771;0.120299;2.06579
35;200;1.35765;0.147201;2.02469
35;200;1.43722;0.121474;2.54795
35;200;1.38748;0.257744;1.84314
35;200;1.29304;0.099319;1.74324
35;200;1.37754;0.115923;2.00000
35;200;1.45712;0.1498;1.97436
35;200;1.39245;0.148645;1.85000
35;200;1.38251;0.156837;2.15854
35;200;1.52679;0.150761;1.90789
35;200;1.38748;0.0927445;2.24638
35;200;1.46707;0.16143;1.87500
35;200;1.39245;0.118645;2.05405
35;200;1.46707;0.19643;1.73563
35;200;1.35268;0.0712538;2.07576
35;200;1.43722;0.161474;1.97531
35;200;1.47205;0.142236;2.18421
35;200;1.34273;0.0343378;2.10169
35;200;1.35268;0.0812538;2.01471
35;200;1.31788;0.109422;1.60000
35;200;1.35765;0.0472013;2.32787
35;200;1.43225;0.140629;1.84416
35;200;1.39743;0.11954;1.85135
35;200;1.32285;0.0704201;1.88060
35;200;1.4223;0.138919;1.77922
35;200;1.61143;0.262802;1.59375
35;200;1.30297;0.0763835;2.02899
35;200;1.42727;0.0447768;1.94828
35;200;1.38251;0.106837;1.86111
35;200;1.50688;0.137733;2.08108
35;200;1.41235;0.117186;1.89041
35;200;1.53177;0.171506;2.02500
35;200;1.4223;0.108919;1.78873
35;200;1.482;0.158833;2.07595
35;200;1.35765;0.122201;1.86842
35;200;1.4422;0.102314;1.86957
35;200;1.43225;0.180629;1.75294
35;200;1.40737;0.11631;2.08219
35;200;1.41235;0.0721859;2.07813
35;200;1.39245;0.123645;1.78667
35;200;1.42727;0.149777;2.11392
35;200;1.27813;0.0511624;1.63077
35;200;1.35268;0.0862538;2.13043
35;200;1.4024;0.0904281;1.94118
35;200;1.31788;0.0794223;1.82609
35;200;1.4024;0.115428;1.94521
35;200;1.41235;0.0971859;1.88406
35;200;1.4024;0.0854281;1.97015
35;200;1.41732;0.108056;2.14085
35;200;1.4422;0.102314;1.81159
35;200;1.44717;0.123149;1.84932
35;200;1.35765;0.0672012;2.30769
35;200;1.41235;0.192186;1.61364
35;200;1.38251;0.141837;1.98734
35;200;1.4223;0.0789191;1.96923
35;200;1.37256;0.130003;2.10390
35;200;1.51186;0.128497;1.94444
35;200;1.32782;0.0914104;1.78873
35;200;1.37256;0.125003;2.02632
35;200;1.32285;0.0804201;1.84058
35;200;1.35268;0.121254;1.76316
35;200;1.4024;0.130428;1.97368
35;200;1.39743;0.17454;1.69412
35;200;1.34273;0.119338;1.60526
35;200;1.38251;0.151837;2.03704
35;200;1.4621;0.150618;1.84615
35;200;1.43722;0.0864744;1.84848
35;200;1.41732;0.198056;1.84270
35;200;1.41235;0.122186;2.09459
35;200;1.57658;0.243;1.81720
35;200;1.4024;0.185428;1.74713
35;200;1.4024;0.0804281;2.54545
35;200;1.4223;0.108919;2.01408
35;200;1.42727;0.0997768;1.97101
35;200;1.4223;0.153919;1.81250
35;200;1.37256;0.0950028;2.01429
35;200;1.40737;0.0613101;2.59677
35;200;1.50191;0.176963;2.00000
35;200;1.4024;0.120428;2.02703
35;200;1.34771;0.110299;1.93243
35;200;1.41235;0.132186;2.14474
35;200;1.36759;0.0890757;1.81159
35;200;1.33776;0.0883692;2.17143
35;200;1.482;0.0688327;2.03279
35;200;1.37754;0.130923;2.10390
35;200;1.39245;0.103645;1.53521
35;200;1.32285;0.0354201;2.06667
35;200;1.33776;0.0683692;1.80303
35;200;1.40737;0.0813101;2.18182
35;200;1.37256;0.115003;2.02703
35;200;1.40737;0.15131;1.91250
35;200;1.47205;0.207236;1.88764
35;200;1.45712;0.1098;2.22857
35;200;1.26819;0.0490171;1.89231
35;200;1.46707;0.14643;1.85714
35;200;1.43225;0.105629;1.87143
35;200;1.31291;0.058417;1.90769
35;200;1.36262;0.133142;1.94872
35;200;1.43225;0.115629;1.91667
35;200;1.39245;0.0886454;2.23529
35;200;1.33279;0.127393;1.76923
35;200;1.39743;0.11454;1.83562
35;200;1.49693;0.0961881;2.30303
35;200;1.52679;0.130761;1.81944
35;200;1.38251;0.126837;1.55263
35;200;1.29304;0.054319;1.78462
35;200;1.51684;0.139257;1.79730
35;200;1.38748;0.162744;1.67470
35;200;1.41235;0.172186;1.97619
35;200;1.37256;0.0950028;1.94286
35;200;1.39743;0.0845399;2.17910
35;200;1.46707;0.15643;1.86076
35;200;1.35765;0.137201;1.81013
35;200;1.44717;0.158149;1.86250
35;200;1.34273;0.179338;1.76136
35;200;1.38251;0.126837;1.96053
35;200;1.40737;0.10131;2.28571
35;200;1.39743;0.10454;2.25352
35;200;1.50191;0.121963;1.97183
35;200;1.4422;0.0773144;2.35938
35;200;1.52182;0.185011;2.08434
35;200;1.41235;0.0871859;2.34328
35;200;1.41732;0.0530555;2.30000
35;200;1.37754;0.150923;1.71605
35;200;1.37256;0.0650028;1.89063
35;200;1.40737;0.0813101;1.92424
35;200;1.35268;0.0662537;1.70769
35;200;1.32285;0.0904201;1.91549
35;200;1.4024;0.180428;1.96512
35;200;1.34771;0.0852993;2.04348
35;200;1.482;0.158833;2.06329
35;200;1.27316;0.150094;1.87059
35;200;1.44717;0.153149;2.06329
35;200;1.37256;0.130003;2.00000
35;200;1.4621;0.160618;1.80000
35;200;1.4422;0.122314;2.10959
35;200;1.39743;0.12954;2.10526
35;200;1.38251;0.101837;2.21127
35;200;1.34771;0.0902993;1.94286
35;200;1.4223;0.0989191;2.15942
35;200;1.46707;0.14143;2.14474
35;200;1.4024;0.145428;1.78481
35;200;1.32285;0.0304201;1.86441
35;200;1.43722;0.0964743;2.05882
35;200;1.33279;0.137394;1.66250
35;200;1.42727;0.0847768;1.96970
35;200;1.40737;0.0813101;1.89394
35;200;1.35268;0.0862538;1.84058
35;200;1.58156;0.183699;1.93827
35;200;1.4422;0.117314;2.06944
35;200;1.47205;0.057236;2.32203
35;200;1.43225;0.160629;1.92593
35;200;1.41732;0.0680555;2.07937
35;200;1.41732;0.123056;2.09459
35;200;1.4223;0.128919;1.73333
35;200;1.40737;0.0763101;2.10769
35;200;1.482;0.153833;1.98718
35;200;1.37754;0.120923;2.13333
35;200;1.41732;0.133056;1.53947
35;200;1.38748;0.137744;2.12821
35;200;1.35268;0.0962537;2.04225
35;200;1.52182;0.175012;1.97531
35;200;1.37256;0.0750028;1.92424
35;200;1.38251;0.131837;2.16883
35;200;1.47702;0.108037;2.24638
35;200;1.38251;0.116837;2.04054
35;200;1.31788;0.0744223;2.10294
35;200;1.4024;0.100428;1.87143
35;200;1.34273;0.109338;1.82432
35;200;1.38748;0.107744;1.76389
35;200;1.38251;0.0918371;2.37681
35;200;1.31291;0.108417;1.90667
35;200;1.51186;0.0884972;2.00000
35;200;1.5467;0.103712;2.10606
35;200;1.33776;0.0933692;1.95775
35;200;1.41732;0.103056;1.94286
35;200;1.39245;0.108645;2.05556
35;200;1.34273;0.194338;1.74725
35;200;1.32285;0.0354201;1.80000
35;200;1.37256;0.140003;1.86076
35;200;1.47205;0.087236;1.83077
35;200;1.38251;0.0518371;1.70492
35;200;1.38251;0.0868371;1.86765
35;200;1.34771;0.0952993;1.94366
35;200;1.33776;0.133369;2.05063
35;200;1.48698;0.109623;1.89855
35;200;1.39245;0.118645;2.05405
35;200;1.31291;0.128417;1.73418
35;200;1.34771;0.165299;1.96471
35;200;1.39743;0.0595399;2.41935
35;200;1.38251;0.126837;1.97368
35;200;1.43722;0.106474;2.02857
35;200;1.36262;0.0881419;2.31884
