p;L;L(p);R(p);T(p)
15;150
15;150;1.19164;0.66079;3.49153
15;150;1.12527;0.613365;3.78571
15;150;1.14518;0.595682;3.55963
15;150;1.1319;0.620813;3.63717
15;150;1.185;0.666751;3.78992
15;150;1.185;0.640084;4.01739
15;150;1.1319;0.66748;3.63333
15;150;1.25804;0.687434;3.66116
15;150;1.15181;0.603104;3.79091
15;150;1.23812;0.658848;4.11966
15;150;1.13854;0.621586;3.47788
15;150;1.21156;0.716192;3.91270
15;150;1.1319;0.56748;3.42857
15;150;1.23812;0.678848;3.48333
15;150;1.17836;0.719371;3.73228
15;150;1.13854;0.574919;3.79245
15;150;1.14518;0.575682;3.36792
15;150;1.21156;0.682859;3.86777
15;150;1.185;0.646751;3.52586
15;150;1.16509;0.691254;4.21951
15;150;1.27797;0.669293;3.73729
15;150;1.15181;0.656437;5.02542
15;150;1.21156;0.609526;3.85455
15;150;1.22484;0.750868;3.73282
15;150;1.16509;0.657921;3.22881
15;150;1.112;0.558441;3.47115
15;150;1.14518;0.682349;3.32787
15;150;1.2182;0.5902;4.14019
15;150;1.17836;0.612705;3.90090
15;150;1.12527;0.600032;3.25455
15;150;1.22484;0.584201;4.20755
15;150;1.17172;0.631983;4.29825
15;150;1.17836;0.606038;3.17273
15;150;1.185;0.620084;3.83929
15;150;1.185;0.693418;4.24390
15;150;1.17172;0.61865;3.23214
15;150;1.23148;0.684862;3.81818
15;150;1.17836;0.632705;4.10526
15;150;1.185;0.606751;3.47273
15;150;1.12527;0.673365;3.58678
15;150;1.11863;0.705908;3.69841
15;150;1.17172;0.691983;3.58537
15;150;1.24476;0.699495;3.87805
15;150;1.15845;0.590517;3.95370
15;150;1.17836;0.659371;3.50000
15;150;1.19164;0.627456;3.44248
15;150;1.12527;0.613365;2.76786
15;150;1.23148;0.744862;3.45385
15;150;1.15845;0.590517;3.46296
15;150;1.11863;0.672574;4.55372
15;150;1.1319;0.634147;4.17391
15;150;1.2514;0.613468;4.25455
15;150;1.15845;0.617183;3.34821
15;150;1.2182;0.696867;3.74797
15;150;1.19164;0.694123;3.73171
15;150;1.15845;0.62385;3.36283
15;150;1.17172;0.57865;3.49057
15;150;1.185;0.693418;3.87805
15;150;1.1319;0.620813;3.25664
15;150;1.20492;0.708843;4.04800
15;150;1.20492;0.722177;3.60630
15;150;1.15181;0.636437;3.67826
15;150;1.19164;0.64079;3.73913
15;150;1.19828;0.621487;3.29464
15;150;1.08546;0.655143;3.37815
15;150;1.23148;0.604862;3.66972
15;150;1.13854;0.628252;3.77193
15;150;1.31118;0.665599;4.13675
15;150;1.15181;0.636437;3.37391
15;150;1.11863;0.532574;4.04000
15;150;1.24476;0.632828;3.25664
15;150;1.09873;0.576812;3.59813
15;150;1.09873;0.570145;3.72642
15;150;1.11863;0.659241;3.00000
15;150;1.19164;0.627456;3.93805
15;150;1.15845;0.630517;3.51754
15;150;1.13854;0.588252;4.24074
15;150;1.13854;0.594919;4.08257
15;150;1.11863;0.565908;3.40000
15;150;1.16509;0.651254;3.65812
15;150;1.16509;0.651254;3.72650
15;150;1.15181;0.58977;4.05556
15;150;1.19828;0.601487;3.91743
15;150;1.10536;0.564298;3.97143
15;150;1.19828;0.541487;3.93000
15;150;1.21156;0.602859;3.70642
15;150;1.2182;0.6302;3.54867
15;150;1.11863;0.565908;3.77143
15;150;1.19164;0.52079;3.98969
15;150;1.112;0.645108;3.88889
15;150;1.15845;0.64385;3.09483
15;150;1.16509;0.591254;3.66667
15;150;1.185;0.633418;3.64035
15;150;1.16509;0.617921;3.48214
15;150;1.13854;0.628252;3.57895
15;150;1.0921;0.602649;3.80180
15;150;1.23148;0.644862;3.94783
15;150;1.15845;0.650517;3.91453
15;150;1.12527;0.646698;3.43590
15;150;1.15845;0.630517;3.63158
15;150;1.24476;0.672828;3.08403
15;150;1.09873;0.596812;3.74545
15;150;1.185;0.613418;4.09009
15;150;1.14518;0.615682;5.15179
15;150;1.16509;0.604587;3.88182
15;150;1.14518;0.649016;4.11111
15;150;1.16509;0.617921;3.16964
15;150;1.15845;0.570517;3.10476
15;150;1.10536;0.657631;3.31092
15;150;1.17172;0.691983;4.16260
15;150;1.12527;0.600032;3.30909
15;150;1.112;0.545108;4.22549
15;150;1.185;0.666751;3.36134
15;150;1.15181;0.623104;3.22124
15;150;1.15845;0.577183;3.70755
15;150;1.19164;0.674123;3.46667
15;150;1.17836;0.592705;3.45370
15;150;1.09873;0.650145;3.86441
15;150;1.19828;0.641487;3.64348
15;150;1.14518;0.589016;3.34259
15;150;1.185;0.660084;4.20339
15;150;1.20492;0.662177;3.69492
15;150;1.13854;0.641586;3.65517
15;150;1.19828;0.641487;3.81739
15;150;1.20492;0.57551;3.85714
15;150;1.12527;0.660032;3.21008
15;150;1.13854;0.621586;3.45133
15;150;1.16509;0.617921;3.42857
15;150;1.112;0.558441;5.67308
15;150;1.14518;0.602349;3.72727
15;150;1.2182;0.7102;3.41600
15;150;1.20492;0.59551;3.78704
15;150;1.31783;0.726176;3.62698
15;150;1.185;0.733418;3.92248
15;150;1.12527;0.586698;3.15741
15;150;1.112;0.685108;3.39024
15;150;1.19164;0.58079;3.71698
15;150;1.15845;0.670517;3.59167
15;150;1.17172;0.61865;4.28571
15;150;1.17836;0.626038;3.21239
