p;L;L(p);R(p);T(p)
20;50;;;
20;50;01,02,2023;0,413333;3,44828
20;50;1,21967;0,496021;3,30303
20;50;1,08226;0,415202;2,5
20;50;1,23934;0,438624;3,6
20;50;1,25903;0,481148;2,78125
20;50;01,02,2023;0,433333;2,4
20;50;1,14107;0,444726;3,06452
20;50;1,06269;0,431799;4,22581
20;50;1,10185;0,338487;5
20;50;1,21967;0,396021;2,71429
20;50;1,1607;0,44769;4,16129
20;50;1,31815;0,548273;3,62857
20;50;1,1607;0,50769;3,02941
20;50;1,29844;0,505969;2,66667
20;50;01,02,2023;0,513333;3,23529
20;50;01,02,2023;0,533333;3,2
20;50;1,21967;0,456021;3,19355
20;50;1,14107;0,364726;3,11111
20;50;1,06269;0,531799;3,5
20;50;1,14107;0,504726;2,44118
20;50;1,12145;0,46166;4,59375
20;50;1,31815;0,528273;3,5
20;50;01,02,2023;0,413333;2,37931
20;50;1,14107;0,444726;2,74194
20;50;1,12145;0,42166;2,93333
20;50;1,12145;0,40166;4,17241
20;50;01,02,2023;0,413333;2,82759
20;50;1,14107;0,424726;3,06667
20;50;1,31815;0,488273;2,375
20;50;1,31815;0,548273;2,6
20;50;1,1607;0,52769;4,11429
20;50;01,02,2023;0,473333;3,125
20;50;1,14107;0,344726;2,88462
20;50;1,25903;0,601148;2,78947
20;50;1,27873;0,443595;3,2
20;50;1,21967;0,476021;3,65625
20;50;1,14107;0,344726;3,80769
20;50;1,12145;0,48166;2,18182
20;50;1,12145;0,48166;2,72727
20;50;1,1607;0,58769;3,10526
20;50;1,18034;0,510558;2,70588
20;50;1,12145;0,34166;3,03846
20;50;1,21967;0,696021;2,86047
20;50;1,12145;0,40166;2,72414
20;50;1,27873;0,523595;2,70588
20;50;1,10185;0,438487;2,70968
20;50;1,08226;0,375202;2,89286
20;50;1,10185;0,538487;3,36111
20;50;1,18034;0,490558;2,36364
20;50;1,1607;0,60769;3,41026
20;50;1,27873;0,543595;2,22857
20;50;1,21967;0,496021;2,51515
20;50;1,14107;0,664726;2,64286
20;50;1,31815;0,568273;3,5
20;50;1,27873;0,543595;2,14286
20;50;1,33788;0,55051;2,88571
20;50;1,27873;0,563595;3,80556
20;50;01,02,2023;0,513333;2,67647
20;50;1,27873;0,423595;3,93103
20;50;1,14107;0,464726;2,46875
20;50;1,1607;0,54769;2,72222
20;50;1,1607;0,48769;2,78788
20;50;1,23934;0,438624;2,23333
20;50;1,23934;0,498624;3,15152
20;50;1,14107;0,424726;3,73333
20;50;1,12145;0,44166;2,35484
20;50;1,06269;0,431799;3,06452
20;50;1,14107;0,504726;4
20;50;1,21967;0,476021;3,46875
20;50;1,25903;0,401148;3,89286
20;50;1,27873;0,443595;3,46667
20;50;1,18034;0,610558;2,5641
20;50;1,10185;0,438487;3,64516
20;50;1,06269;0,411799;2,73333
20;50;1,23934;0,478624;3,21875
20;50;01,02,2023;0,413333;2,44828
20;50;1,21967;0,556021;2,44444
20;50;1,29844;0,685969;2,42857
20;50;1,21967;0,456021;3,80645
20;50;1,18034;0,430558;2,4
20;50;1,23934;0,318624;2,66667
20;50;1,1607;0,62769;2,9
20;50;1,14107;0,344726;2,80769
20;50;1,29844;0,505969;2,63636
20;50;1,14107;0,444726;2,83871
20;50;1,18034;0,530558;2,65714
20;50;01,02,2023;0,413333;2,93103
20;50;1,18034;0,410558;3,58621
20;50;1,1607;0,50769;3,55882
20;50;1,23934;0,518624;2,29412
20;50;01,02,2023;0,533333;2,82857
20;50;1,29844;0,425969;3,86207
20;50;1,1607;0,46769;3,09375
20;50;1,25903;0,581148;2,62162
20;50;1,31815;0,428273;3,58621
20;50;1,23934;0,538624;2,28571
20;50;1,04314;0,288271;3,20833
20;50;1,1607;0,42769;2,66667
20;50;1,14107;0,464726;3,15625
20;50;01,02,2023;0,553333;2,58333
20;50;1,33788;0,45051;2,66667
20;50;01,02,2023;0,533333;3,25714
20;50;1,10185;0,338487;3,65385
20;50;1,18034;0,470558;3,375
20;50;1,18034;0,490558;3,48485
20;50;1,1607;0,42769;3,56667
20;50;1,27873;0,563595;2,83333
20;50;1,1607;0,46769;3
20;50;1,1607;0,44769;3,09677
20;50;1,23934;0,618624;2,74359
20;50;1,14107;0,504726;2,29412
20;50;1,08226;0,435202;2,6129
20;50;1,21967;0,456021;3,45161
20;50;1,08226;0,395202;3,03448
20;50;1,18034;0,550558;2,41667
20;50;1,14107;0,464726;2,625
20;50;1,1607;0,46769;3,34375
20;50;1,21967;0,436021;3,26667
20;50;1,1607;0,34769;2,65385
20;50;1,18034;0,390558;2,82143
20;50;1,18034;0,610558;2,76923
20;50;1,27873;0,443595;3,43333
20;50;1,14107;0,524726;2,85714
20;50;1,41686;0,438842;2,93103
20;50;1,27873;0,363595;3,03846
20;50;1,1607;0,44769;2,74194
20;50;1,25903;0,421148;3,48276
20;50;1,21967;0,716021;2,47727
20;50;01,02,2023;0,353333;2,88462
20;50;1,10185;0,318487;2,72
20;50;1,14107;0,544726;2,61111
20;50;1,06269;0,491799;3,08824
20;50;1,06269;0,411799;3,23333
20;50;1,18034;0,430558;2,96667
20;50;01,02,2023;0,613333;2,41026
20;50;1,23934;0,418624;3,13793
20;50;1,18034;0,550558;2,41667
20;50;1,29844;0,485969;2,71875
20;50;1,1607;0,62769;2,525
20;50;01,02,2023;0,353333;2,96154
20;50;1,18034;0,550558;3,02778
20;50;1,08226;0,455202;2,75
20;50;1,1607;0,58769;2,84211
20;50;1,41686;0,498842;3,625
20;50;1,18034;0,550558;2,75
20;50;1,06269;0,631799;2,92683
20;50;1,18034;0,550558;2,72222
20;50;1,27873;0,483595;3,1875
20;50;1,1607;0,46769;3
20;50;1,18034;0,410558;4,34483
20;50;1,21967;0,556021;4,05556
20;50;1,12145;0,34166;3,23077
20;50;1,14107;0,464726;2,5
20;50;1,1607;0,52769;3,57143
20;50;1,25903;0,481148;3,0625
20;50;1,21967;0,456021;4,35484
20;50;1,25903;0,601148;3,5
20;50;1,21967;0,436021;2,86667
20;50;1,27873;0,583595;2,75676
20;50;1,21967;0,516021;3,20588
20;50;1,1607;0,58769;2
20;50;1,23934;0,338624;4,08
20;50;01,02,2023;0,433333;3,16667
20;50;1,23934;0,418624;2,55172
20;50;1,10185;0,398487;3,24138
20;50;01,01,3971;0,456846;3,93333
20;50;1,1607;0,62769;2,45
20;50;1,14107;0,364726;2,81481
20;50;1,14107;0,404726;2,86207
20;50;1,18034;0,510558;2,47059
20;50;1,23934;0,578624;4,08108
20;50;1,12145;0,54166;3,88889
20;50;1,21967;0,356021;3,07692
20;50;1,1607;0,46769;3,25
20;50;1,12145;0,38166;3,67857
20;50;1,18034;0,350558;2,34615
20;50;1,1607;0,46769;4,28125
20;50;1,08226;0,375202;2,64286
20;50;1,23934;0,518624;2,32353
20;50;1,12145;0,44166;3,35484
20;50;1,23934;0,318624;2,875
20;50;1,18034;0,670558;2,52381
20;50;1,37735;0,654794;3,175
20;50;1,21967;0,416021;3,2069
20;50;1,29844;0,465969;3,19355
20;50;1,23934;0,458624;2,83871
20;50;1,1607;0,46769;2,84375
20;50;1,33788;0,53051;3,11765
20;50;1,1607;0,46769;2,8125
20;50;1,29844;0,425969;3,03448
20;50;1,29844;0,645969;2,3
20;50;1,23934;0,578624;2,37838
20;50;1,18034;0,570558;2,54054
20;50;1,21967;0,496021;3,36364
20;50;1,23934;0,558624;3,05556
20;50;1,12145;0,44166;3,6129
20;50;1,08226;0,415202;3,4
20;50;1,18034;0,510558;2,79412
20;50;1,18034;0,550558;3,94444
20;50;1,10185;0,358487;3,66667
20;50;1,23934;0,458624;3,80645
20;50;01,02,2023;0,453333;3,35484
20;50;1,18034;0,450558;2
20;50;1,21967;0,596021;2,31579
20;50;1,18034;0,530558;2,6
20;50;1,25903;0,441148;3
20;50;1,21967;0,296021;3,13043
20;50;1,14107;0,504726;3,41176
20;50;01,02,2023;0,433333;3,63333
20;50;1,21967;0,576021;2,2973
20;50;1,14107;0,544726;4,25
20;50;1,10185;0,418487;3,56667
20;50;01,02,2023;0,553333;2,66667
20;50;1,18034;0,590558;2,55263
20;50;1,14107;0,364726;4,18518
20;50;01,02,2023;0,433333;3,46667
20;50;1,1607;0,44769;3,70968
20;50;1,18034;0,430558;4,13333
20;50;1,14107;0,524726;4,2
20;50;1,23934;0,578624;2,72973
20;50;1,21967;0,456021;4,12903
20;50;01,02,2023;0,473333;2,5625
20;50;1,31815;0,568273;2,19444
20;50;1,12145;0,52166;2,77143
20;50;1,1607;0,36769;2,66667
20;50;1,21967;0,596021;2,52632
20;50;1,1607;0,40769;3,13793
20;50;1,14107;0,544726;2,94444
20;50;1,10185;0,358487;3,18519
20;50;1,18034;0,550558;2,86111
20;50;1,12145;0,40166;2,65517
20;50;1,35761;0,552683;2,57143
20;50;01,02,2023;0,473333;2,8125
20;50;1,21967;0,496021;3,12121
20;50;1,29844;0,465969;3
20;50;1,12145;0,54166;2,16667
20;50;1,21967;0,416021;3,55172
20;50;01,02,2023;0,433333;2,93333
20;50;01,02,2023;0,493333;2,9697
20;50;1,21967;0,456021;2,96774
20;50;1,29844;0,525969;2,35294
20;50;1,33788;0,59051;2,94595
20;50;1,12145;0,38166;2,71429
20;50;1,12145;0,50166;2,58824
20;50;1,1607;0,46769;3,75
20;50;1,21967;0,376021;3,81481
20;50;1,21967;0,476021;3,40625
20;50;01,02,2023;0,433333;2,76667
20;50;1,33788;0,53051;2,67647
20;50;1,14107;0,404726;3,51724
20;50;1,18034;0,490558;2,33333
20;50;1,21967;0,516021;3,26471
20;50;1,06269;0,391799;3,44828
20;50;1,14107;0,624726;2,425
20;50;1,21967;0,336021;2,96
20;50;1,14107;0,464726;1,9375
20;50;1,08226;0,415202;2,8
20;50;1,21967;0,536021;2,31429
20;50;1,23934;0,498624;2,54545
20;50;1,12145;0,40166;2,62069
20;50;1,31815;0,468273;3,58065
20;50;1,14107;0,404726;2,41379
20;50;01,02,2023;0,593333;2,55263
20;50;1,25903;0,461148;2,35484
20;50;1,21967;0,536021;3,05714
20;50;1,14107;0,564726;2,62162
20;50;1,1607;0,50769;4,67647
20;50;1,1607;0,50769;2,70588
20;50;01,02,2023;0,493333;3,09091
20;50;1,1607;0,50769;3,38235
20;50;1,10185;0,398487;2,27586
20;50;1,1607;0,38769;2,60714
20;50;1,18034;0,430558;2,56667
20;50;1,25903;0,421148;3,58621
20;50;1,12145;0,34166;5,30769
20;50;1,12145;0,40166;4
20;50;1,14107;0,484726;2,57576
20;50;1,14107;0,444726;3,64516
20;50;1,1607;0,34769;3
20;50;1,10185;0,398487;2,62069
20;50;1,14107;0,484726;2,45455
20;50;1,25903;0,401148;2,75
20;50;1,31815;0,548273;2,88571
20;50;1,08226;0,335202;4,30769
20;50;1,1607;0,46769;2,9375
20;50;1,12145;0,50166;2,47059
20;50;1,1607;0,58769;3,36842
20;50;1,18034;0,490558;3,21212
20;50;1,21967;0,356021;3,69231
20;50;1,21967;0,476021;3
20;50;01,02,2023;0,473333;2,9375
20;50;1,23934;0,438624;2,93333
20;50;1,18034;0,390558;3,10714
20;50;1,1607;0,44769;2,16129
20;50;1,1607;0,50769;2,88235
20;50;1,1607;0,36769;2,2963
20;50;1,21967;0,436021;3,13333
20;50;1,27873;0,563595;2,91667
20;50;1,18034;0,590558;4,31579
20;50;1,1607;0,44769;2,77419
20;50;1,1607;0,42769;3,23333
20;50;1,14107;0,544726;3,38889
20;50;1,25903;0,361148;3,57692
20;50;1,14107;0,384726;3,14286
20;50;01,02,2023;0,373333;2,59259
20;50;1,12145;0,36166;2,88889
20;50;1,18034;0,610558;1,97436
20;50;1,23934;0,558624;2,41667
20;50;1,18034;0,390558;3,07143
20;50;1,14107;0,384726;2,46429
20;50;1,10185;0,298487;3,29167
20;50;01,01,3971;0,436846;3,2069
20;50;1,25903;0,481148;3,1875
20;50;1,29844;0,605969;2,52632
20;50;01,02,2023;0,413333;2,65517
20;50;01,02,2023;0,453333;2,35484
20;50;1,18034;0,470558;2,34375
20;50;1,23934;0,578624;4,08108
20;50;1,23934;0,458624;3,41935
20;50;1,10185;0,538487;2,86111
20;50;1,23934;0,598624;3
20;50;1,12145;0,46166;2,90625
20;50;1,14107;0,484726;2,90909
20;50;1,06269;0,371799;4,07143
20;50;1,27873;0,563595;2,91667
20;50;1,12145;0,38166;2,46429
20;50;1,1607;0,58769;4,10526
20;50;1,29844;0,485969;3
20;50;1,23934;0,498624;2,75758
20;50;1,25903;0,401148;2,71429
20;50;1,1607;0,50769;2,32353
20;50;1,21967;0,436021;2,76667
20;50;1,18034;0,310558;3,125
20;50;1,10185;0,418487;2,13333
20;50;1,29844;0,705969;3,09302
20;50;1,1607;0,44769;2,96774
20;50;01,02,2023;0,373333;2,88889
20;50;1,12145;0,42166;2,56667
20;50;1,1607;0,54769;3,52778
20;50;1,1607;0,48769;3,24242
20;50;1,1607;0,54769;2,52778
20;50;1,10185;0,438487;2,54839
20;50;1,14107;0,544726;2,16667
20;50;1,21967;0,396021;2,64286
20;50;1,21967;0,476021;3,28125
20;50;1,21967;0,556021;3,22222
20;50;1,37735;0,474794;3,54839
20;50;1,21967;0,416021;4,2069
20;50;1,29844;0,465969;3,25806
20;50;1,1607;0,66769;2,71429
20;50;1,10185;0,638487;2,09756
20;50;1,12145;0,38166;2,46429
20;50;1,35761;0,452683;4
20;50;1,18034;0,510558;3,5
20;50;1,1607;0,42769;2,36667
20;50;1,21967;0,516021;2,97059
20;50;1,1607;0,34769;5,07692
20;50;1,10185;0,418487;2,53333
20;50;1,25903;0,421148;2,37931
20;50;1,06269;0,511799;2,77143
20;50;1,33788;0,57051;3,94444
20;50;1,27873;0,443595;3
20;50;1,18034;0,470558;2,6875
20;50;1,14107;0,344726;3,57692
20;50;1,21967;0,556021;2,33333
20;50;1,1607;0,50769;2,44118
20;50;1,29844;0,445969;4,53333
20;50;1,14107;0,624726;2,775
20;50;1,27873;0,543595;3,17143
20;50;1,27873;0,563595;2,97222
20;50;1,27873;0,663595;2,4878
20;50;1,10185;0,418487;5,3
20;50;1,21967;0,496021;3,36364
20;50;1,1607;0,48769;2,15152
20;50;1,14107;0,404726;2,44828
20;50;01,02,2023;0,453333;3,06452
20;50;1,12145;0,44166;2,6129
20;50;1,35761;0,512683;2,57576
20;50;1,12145;0,38166;2,85714
20;50;1,31815;0,588273;2,64865
20;50;1,10185;0,538487;2,91667
20;50;01,02,2023;0,533333;2,25714
20;50;1,31815;0,408273;2,53571
20;50;1,10185;0,338487;2,61538
20;50;1,10185;0,378487;3,17857
20;50;1,14107;0,344726;2,73077
20;50;1,21967;0,596021;2,71053
20;50;1,08226;0,395202;2,75862
20;50;1,12145;0,52166;2,97143
20;50;1,18034;0,390558;2,5
20;50;1,08226;0,375202;3
20;50;1,27873;0,563595;2,52778
20;50;1,10185;0,458487;2,53125
20;50;1,21967;0,536021;2,45714
20;50;1,18034;0,470558;3,5625
20;50;1,18034;0,530558;2,42857
20;50;1,23934;0,478624;3,0625
20;50;1,25903;0,561148;2,36111
20;50;1,18034;0,430558;2,76667
20;50;1,1607;0,36769;3,37037
20;50;01,02,2023;0,613333;3,84615
20;50;1,12145;0,34166;3,53846
20;50;1,1607;0,36769;2,62963
20;50;1,21967;0,576021;2,56757
20;50;1,37735;0,614794;2,71053
20;50;1,12145;0,66166;2,2381
20;50;1,12145;0,50166;2,64706
20;50;1,21967;0,476021;4,9375
20;50;1,10185;0,618487;2,875
20;50;1,1607;0,42769;3,03333
20;50;1,14107;0,584726;2,31579
20;50;1,23934;0,578624;2,7027
20;50;1,21967;0,696021;3,16279
20;50;1,27873;0,383595;3,44444
