p;L;L(p);R(p);T(p)
15;100
15;100;1.10805;0.634626;3.29870
15;100;1.11797;0.645829;3.48718
15;100;1.24714;0.659724;4.43590
15;100;1.2372;0.698758;2.95122
15;100;1.24714;0.709724;3.59036
15;100;1.17756;0.602618;3.75342
15;100;1.22725;0.657776;3.87179
15;100;1.14776;0.559311;3.31884
15;100;1.20738;0.675764;4.08750
15;100;1.07827;0.630888;3.18182
15;100;1.1875;0.703684;3.97590
15;100;1.1577;0.490432;3.93548
15;100;1.1875;0.573684;3.77143
15;100;1.16763;0.621535;4.42667
15;100;1.04851;0.54694;3.56522
15;100;1.19744;0.534732;4.53030
15;100;1.09812;0.623403;4.09211
15;100;1.31676;0.676084;3.07595
15;100;1.20738;0.625764;3.80000
15;100;1.10805;0.584626;3.30556
15;100;1.10805;0.674626;3.30864
15;100;1.13783;0.68817;3.08537
15;100;1.22725;0.607776;4.19178
15;100;1.16763;0.631535;3.22368
15;100;1.16763;0.621535;4.09333
15;100;1.14776;0.619311;3.54667
15;100;1.16763;0.681535;3.32099
15;100;1.16763;0.711535;3.27381
15;100;1.1875;0.593684;4.13889
15;100;1.1577;0.610432;3.56757
15;100;1.13783;0.52817;5.43939
15;100;1.10805;0.624626;4.43421
15;100;1.1577;0.650432;3.06410
15;100;1.2372;0.618758;4.09459
15;100;1.14776;0.629311;3.07895
15;100;1.11797;0.665829;3.65000
15;100;1.1577;0.570432;4.41429
15;100;1.13783;0.59817;5.56164
15;100;1.19744;0.634732;3.10526
15;100;1.19744;0.654732;4.14103
15;100;1.13783;0.60817;3.77027
15;100;1.1279;0.68701;3.48780
15;100;1.09812;0.583403;3.34722
15;100;1.21731;0.616778;3.54054
15;100;1.16763;0.651535;3.93590
15;100;1.07827;0.590888;5.57534
15;100;1.16763;0.681535;4.19753
15;100;1.21731;0.626778;2.93333
15;100;1.25708;0.640676;4.51316
15;100;1.19744;0.674732;3.46250
15;100;1.10805;0.584626;3.68056
15;100;1.10805;0.754626;2.96629
15;100;1.16763;0.661535;3.74684
15;100;1.19744;0.624732;3.82667
15;100;1.1875;0.603684;3.43836
15;100;1.13783;0.51817;3.73846
15;100;1.16763;0.661535;2.68354
15;100;1.11797;0.735829;3.87356
15;100;1.11797;0.685829;3.07317
15;100;1.16763;0.651535;3.69231
15;100;1.21731;0.596778;3.86111
15;100;1.25708;0.640676;5.18421
15;100;1.25708;0.640676;3.50000
15;100;1.14776;0.489311;4.14516
15;100;1.1279;0.66701;3.72500
15;100;1.13783;0.59817;3.73973
15;100;1.16763;0.641535;3.64935
15;100;1.16763;0.541535;4.10448
15;100;1.13783;0.72817;3.30233
15;100;1.1577;0.650432;3.08974
15;100;1.19744;0.634732;3.28947
15;100;1.26702;0.581612;4.62857
15;100;1.2372;0.578758;3.55714
15;100;1.33665;0.647779;3.69737
15;100;1.1577;0.550432;3.73529
15;100;1.14776;0.579311;4.25352
15;100;1.17756;0.612618;3.22973
15;100;1.2372;0.538758;3.74242
15;100;1.1279;0.56701;5.92857
15;100;1.16763;0.721535;3.41176
15;100;1.22725;0.647776;4.32468
15;100;1.19744;0.544732;4.16418
15;100;1.16763;0.671535;4.17500
15;100;1.17756;0.612618;5.31081
15;100;1.17756;0.572618;3.74286
15;100;1.14776;0.579311;4.18310
15;100;1.1577;0.630432;3.52632
15;100;1.13783;0.57817;3.83099
15;100;1.17756;0.702618;3.06024
15;100;1.14776;0.579311;3.90141
15;100;1.22725;0.607776;3.13699
15;100;1.14776;0.539311;3.97015
15;100;1.22725;0.687776;4.16049
15;100;1.1577;0.640432;3.27273
15;100;1.1577;0.700432;3.19277
15;100;1.11797;0.585829;3.36111
15;100;1.13783;0.59817;3.47945
15;100;1.1875;0.673684;3.57500
15;100;1.30681;0.595216;3.73239
15;100;1.21731;0.666778;3.05063
15;100;1.08819;0.632157;3.62338
15;100;1.1279;0.61701;3.80000
15;100;1.24714;0.629725;4.98667
15;100;1.14776;0.579311;3.74648
15;100;1.1279;0.63701;3.51948
15;100;1.2372;0.598758;4.02778
15;100;1.24714;0.599725;3.34722
15;100;1.13783;0.55817;3.79710
15;100;1.1279;0.54701;3.63235
15;100;1.17756;0.592618;3.79167
15;100;1.14776;0.679311;3.00000
15;100;1.22725;0.797776;4.01087
15;100;1.13783;0.61817;3.25333
15;100;1.14776;0.629311;5.53947
15;100;1.09812;0.723403;5.27907
15;100;1.16763;0.641535;3.76623
15;100;1.09812;0.633403;3.76623
15;100;1.16763;0.571535;2.80000
15;100;1.11797;0.615829;3.74667
15;100;1.19744;0.674732;4.10000
15;100;1.1279;0.59701;3.34247
15;100;1.1577;0.750432;4.20455
15;100;1.1577;0.670432;3.52500
15;100;1.1279;0.63701;3.37662
15;100;1.11797;0.625829;3.17105
15;100;1.1279;0.62701;4.09211
15;100;1.20738;0.685764;3.50617
15;100;1.11797;0.585829;5.00000
15;100;1.11797;0.605829;4.27027
15;100;1.11797;0.525829;4.12121
15;100;1.20738;0.625764;3.62667
15;100;1.13783;0.60817;3.87838
15;100;1.17756;0.672618;3.78750
15;100;1.21731;0.646778;4.66234
15;100;1.19744;0.644732;3.45455
15;100;1.1279;0.65701;5.59494
15;100;1.13783;0.52817;3.56061
15;100;1.11797;0.555829;3.81159
15;100;1.14776;0.649311;3.21795
15;100;1.16763;0.631535;3.82895
15;100;1.1577;0.660432;3.49367
15;100;1.10805;0.644626;4.08974
15;100;1.16763;0.601535;3.54795
15;100;1.09812;0.533403;3.62687
15;100;1.1279;0.59701;4.16438
15;100;1.16763;0.611535;3.94595
15;100;1.1279;0.58701;3.63889
15;100;1.08819;0.622157;3.76316
15;100;1.13783;0.55817;3.05797
15;100;1.1577;0.650432;3.48718
15;100;1.09812;0.603403;3.32432
15;100;1.09812;0.603403;3.67568
15;100;1.1279;0.63701;3.12987
15;100;1.25708;0.670676;3.53165
15;100;1.1279;0.62701;4.07895
15;100;1.13783;0.60817;4.16216
15;100;1.13783;0.63817;3.93507
15;100;1.17756;0.612618;5.05405
15;100;1.1577;0.600432;4.08219
15;100;1.14776;0.629311;3.46053
15;100;1.19744;0.584732;4.21127
15;100;1.11797;0.575829;4.01408
15;100;1.1875;0.633684;3.26316
15;100;1.13783;0.59817;3.10959
15;100;1.13783;0.57817;3.39437
15;100;1.21731;0.696778;3.73171
15;100;1.10805;0.604626;4.06757
15;100;1.11797;0.645829;2.93590
15;100;1.07827;0.490888;3.11111
15;100;1.19744;0.674732;3.23750
15;100;1.25708;0.540676;3.84848
15;100;1.30681;0.625216;3.97297
15;100;1.09812;0.703403;4.96429
15;100;1.1279;0.59701;3.58904
15;100;1.16763;0.631535;3.53947
15;100;1.13783;0.61817;3.25333
15;100;1.16763;0.721535;3.12941
15;100;1.1875;0.723684;3.47059
15;100;1.20738;0.735764;3.58140
15;100;1.08819;0.572157;3.23944
15;100;1.1577;0.610432;3.40541
15;100;1.16763;0.681535;3.50617
15;100;1.08819;0.572157;4.07042
15;100;1.25708;0.660676;3.41026
15;100;1.1577;0.590432;4.12500
15;100;1.24714;0.559725;3.83824
15;100;1.08819;0.652157;3.41772
15;100;1.11797;0.675829;3.70370
15;100;1.07827;0.600888;4.09459
15;100;1.11797;0.655829;4.51899
15;100;1.11797;0.615829;3.68000
15;100;1.13783;0.73817;4.03448
15;100;1.19744;0.604732;4.06849
15;100;1.1577;0.630432;4.51316
15;100;1.14776;0.649311;5.42308
15;100;1.08819;0.572157;3.64789
15;100;1.16763;0.631535;3.51316
15;100;1.13783;0.58817;4.38889
15;100;1.24714;0.559725;4.48529
15;100;1.17756;0.632618;3.77632
15;100;1.17756;0.702618;3.93976
15;100;1.09812;0.633403;3.64935
15;100;1.1577;0.700432;3.65060
15;100;1.1279;0.69701;3.26506
15;100;1.10805;0.544626;3.76471
15;100;1.16763;0.651535;5.28205
15;100;1.1577;0.620432;4.26667
15;100;1.14776;0.629311;3.73684
15;100;1.1279;0.62701;3.34211
15;100;1.13783;0.53817;4.14925
15;100;1.1577;0.670432;3.01250
15;100;1.14776;0.639311;3.77922
15;100;1.13783;0.64817;3.12821
15;100;1.1279;0.49701;3.71429
15;100;1.1875;0.523684;3.81538
15;100;1.16763;0.571535;3.20000
15;100;1.10805;0.674626;3.20988
15;100;1.1577;0.660432;3.18987
15;100;1.21731;0.616778;3.94595
15;100;1.1279;0.55701;4.04348
15;100;1.08819;0.532157;4.04478
15;100;1.1577;0.590432;3.97222
15;100;1.2372;0.698758;3.34146
15;100;1.14776;0.629311;5.48684
15;100;1.14776;0.609311;3.79730
15;100;1.14776;0.619311;3.37333
15;100;1.09812;0.563403;3.51429
15;100;1.19744;0.584732;4.16901
15;100;1.1577;0.630432;6.02632
15;100;1.14776;0.619311;3.18667
15;100;1.17756;0.602618;3.09589
15;100;1.19744;0.574732;3.11429
15;100;1.07827;0.580888;3.36111
15;100;1.17756;0.632618;4.05263
15;100;1.1875;0.583684;3.52113
15;100;1.20738;0.685764;4.13580
15;100;1.11797;0.535829;3.85075
15;100;1.1279;0.58701;3.65278
